"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change","total_deaths_per_7_days","covid_deaths_per_7_days","expected_deaths_per_7_days","excess_deaths_per_7_days","non_covid_deaths_per_7_days","covid_deaths_per_100k_per_7_days","excess_deaths_per_100k_per_7_days"
"Andorra","Andorra","0",2020-01-01,2020-01-31,31,2020,"1",79843,34,0,34.947856990816,-0.947856990815971,34,0,-1.18715102240143,-0.0271220347234756,7.67741935483871,0,7.89145157857135,-0.214032223732639,7.67741935483871,0,-0.268066359897096
"Andorra","Andorra","0",2020-02-01,2020-02-29,29,2020,"2",79843,37,0,30.4936557717467,6.50634422825332,37,0,8.14892254581281,0.213367143544712,8.93103448275862,0,7.36053760007678,1.57049688268184,8.93103448275862,0,1.96698130416171
"Andorra","Andorra","0",2020-03-01,2020-03-31,31,2020,"3",79843,40,12,32.9374283889795,7.06257161102048,28,15.0294953846925,8.84557395265769,0.214423892709958,9.03225806451613,2.70967741935484,7.43748382976957,1.59477423474656,6.32258064516129,3.39375702234991,1.99738766672916
"Andorra","Andorra","0",2020-04-01,2020-04-30,30,2020,"4",79843,60,30,24.8684790861092,35.1315209138908,30,37.5737384617311,44.000752619379,1.41269278238709,14,7,5.80264512009215,8.19735487990785,7,8.7672056410706,10.2668422778551
"Andorra","Andorra","0",2020-05-01,2020-05-31,31,2020,"5",79843,36,9,22.1374283889795,13.8625716110205,27,11.2721215385193,17.3622880039834,0.626205147564544,8.12903225806452,2.03225806451613,4.99877415235022,3.1302581057143,6.09677419354839,2.54531776676243,3.92051664606077
"Andorra","Andorra","0",2020-06-01,2020-06-30,30,2020,"6",79843,26,1,26.2684790861092,-0.268479086109213,25,1.25245794872437,-0.336258765463739,-0.010220579776588,6.06666666666667,0.233333333333333,6.12931178675882,-0.0626451200921497,5.83333333333333,0.292240188035687,-0.0784603786082058
"Andorra","Andorra","0",2020-07-01,2020-07-31,31,2020,"7",79843,29,0,27.9374283889795,1.06257161102048,29,0,1.33082626031147,0.0380339806594239,6.54838709677419,0,6.30845157170505,0.239935525069142,6.54838709677419,0,0.300509155554202
"Andorra","Andorra","0",2020-08-01,2020-08-31,31,2020,"8",79843,19,1,25.7374283889795,-6.73742838897952,18,1.25245794872437,-8.43834573973864,-0.261775507916106,4.29032258064516,0.225806451612903,5.81167737815667,-1.5213547975115,4.06451612903226,0.282813085195826,-1.90543290897324
"Andorra","Andorra","0",2020-09-01,2020-09-30,30,2020,"9",79843,27,0,25.6684790861092,1.33152091389079,27,0,1.66767395249526,0.0518737752020282,6.3,0,5.98931178675882,0.310688213241185,6.3,0,0.389123922248894
"Andorra","Andorra","0",2020-10-01,2020-10-31,31,2020,"10",79843,51,22,27.9374283889795,23.0625716110205,29,27.5540748719362,28.8849011322476,0.825508034952779,11.5161290322581,4.96774193548387,6.30845157170505,5.20767746055301,6.54838709677419,6.22188787430817,6.52239702986237
"Andorra","Andorra","0",2020-11-01,2020-11-30,30,2020,"11",79843,19,1,26.6684790861092,-7.6684790861092,18,1.25245794872437,-9.60444758602408,-0.287548422290924,4.43333333333333,0.233333333333333,6.22264512009215,-1.78931178675881,4.2,0.292240188035687,-2.24103777007228
"Andorra","Andorra","0",2020-12-01,2020-12-31,31,2020,"12",79843,41,8,31.7374283889795,9.26257161102048,33,10.019663589795,11.6009814398513,0.291850098801225,9.25806451612903,1.80645161290323,7.16651608783409,2.09154842829495,7.45161290322581,2.26250468156661,2.61957645415997
