"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change","total_deaths_per_7_days","covid_deaths_per_7_days","expected_deaths_per_7_days","excess_deaths_per_7_days","non_covid_deaths_per_7_days","covid_deaths_per_100k_per_7_days","excess_deaths_per_100k_per_7_days"
"Algeria","Algeria","0",2020-01-01,2020-01-31,31,2020,"1",44903228,17195,0,17369.0507215846,-174.050721584612,17195,0,-0.387612938616823,-0.0100207388633116,3882.74193548387,0,3922.04371132556,-39.3017758416866,3882.74193548387,0,-0.0875255022683148
"Algeria","Algeria","0",2020-02-01,2020-02-29,29,2020,"2",44903228,15810,0,16106.8952986862,-296.895298686197,15810,0,-0.661189210464328,-0.0184328073896658,3816.20689655172,0,3887.87127899322,-71.6643824414958,3816.20689655172,0,-0.15959739562932
"Algeria","Algeria","0",2020-03-01,2020-03-31,31,2020,"3",44903228,15882,44,15656.726082376,225.273917623992,15838,0.0979885009603319,0.501687579396279,0.01438831569504,3586.25806451613,9.93548387096774,3535.38976053652,50.8683039796111,3576.32258064516,0.0221264357007201,0.11328429212174
"Algeria","Algeria","0",2020-04-01,2020-04-30,30,2020,"4",44903228,15020,406,14671.4720152026,348.527984797416,14614,0.904166622497607,0.776175790296003,0.0237554885042395,3504.66666666667,94.7333333333333,3423.34347021394,81.3231964527304,3409.93333333333,0.210972211916108,0.181107684402401
"Algeria","Algeria","0",2020-05-01,2020-05-31,31,2020,"5",44903228,14833,203,14671.726082376,161.273917623994,14630,0.452083311248804,0.359158850726709,0.0109921570726241,3349.38709677419,45.8387096774194,3312.97040569781,36.4166910763857,3303.54838709677,0.102083328346504,0.0811003856479666
"Algeria","Algeria","0",2020-06-01,2020-06-30,30,2020,"6",44903228,18100,259,14297.2220152026,3802.77798479741,17841,0.576795948834681,8.46882986852841,0.265980200961685,4223.33333333333,60.4333333333333,3336.01847021394,887.314863119396,4162.9,0.134585721394759,1.97606030265663
"Algeria","Algeria","0",2020-07-01,2020-07-31,31,2020,"7",44903228,32170,298,15088.726082376,17081.273917624,31872,0.663649392867702,38.0401914927452,1.13205540509979,7264.1935483871,67.2903225806452,3407.13169602039,3857.06185236671,7196.90322580645,0.149856314518513,8.58972065965215
"Algeria","Algeria","0",2020-08-01,2020-08-31,31,2020,"8",44903228,23413,300,15083.326082376,8329.67391762399,23113,0.668103415638626,18.5502786517352,0.552243840127327,5286.8064516129,67.741935483871,3405.91234118168,1880.89411043122,5219.06451612903,0.150862061595819,4.18877259877892
"Algeria","Algeria","0",2020-09-01,2020-09-30,30,2020,"9",44903228,17043,226,14114.1720152026,2928.82798479741,16817,0.503304573114432,6.52253326820382,0.207509727219048,3976.7,52.7333333333333,3293.30680354727,683.39319645273,3923.96666666667,0.117437733726701,1.52192442924756
"Algeria","Algeria","0",2020-10-01,2020-10-31,31,2020,"10",44903228,18665,228,15118.176082376,3546.82391762399,18437,0.507758595885356,7.89881724677788,0.234606601900788,4214.67741935484,51.4838709677419,3413.78169602039,800.89572333445,4163.1935483871,0.114655166812822,1.78360389443372
"Algeria","Algeria","0",2020-11-01,2020-11-30,30,2020,"11",44903228,26100,467,15323.7220152026,10776.2779847974,25633,1.04001431701079,23.9988937650483,0.703241547589177,6090,108.966666666667,3575.5351368806,2514.4648631194,5981.03333333333,0.242670007302519,5.59974187851127
"Algeria","Algeria","0",2020-12-01,2020-12-31,31,2020,"12",44903228,21397,325,16348.976082376,5048.02391762399,21072,0.723778700275178,11.2420067386336,0.308766976732304,4831.58064516129,73.3870967741936,3691.70427666555,1139.87636849574,4758.1935483871,0.163433900062137,2.53851765065919
