"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change","total_deaths_per_7_days","covid_deaths_per_7_days","expected_deaths_per_7_days","excess_deaths_per_7_days","non_covid_deaths_per_7_days","covid_deaths_per_100k_per_7_days","excess_deaths_per_100k_per_7_days"
"Kuwait","Kuwait","0",2020-01-01,2020-01-31,31,2020,"1",4268886,599,0,696.735854162855,-97.7358541628549,599,0,-2.28949318775097,-0.140276768561433,135.258064516129,0,157.32745094,-22.0693864238705,135.258064516129,0,-0.516982332717961
"Kuwait","Kuwait","0",2020-02-01,2020-02-29,29,2020,"2",4268886,607,0,605.290146213797,1.70985378620253,607,0,0.0400538638465054,0.00282484986233134,146.51724137931,0,146.104518051606,0.412723327704059,146.51724137931,0,0.00966817403191509
"Kuwait","Kuwait","0",2020-03-01,2020-03-31,31,2020,"3",4268886,636,0,629.883024995434,6.11697500456614,636,0,0.143292067405083,0.00971128727371329,143.612903225806,0,142.231650805421,1.3812524203859,143.612903225806,0,0.0323562732850187
"Kuwait","Kuwait","0",2020-04-01,2020-04-30,30,2020,"4",4268886,702,26,583.95131451171,118.04868548829,676,0.609058194573479,2.76532766366424,0.202155012848974,163.8,6.06666666666667,136.255306719399,27.5446932806009,157.733333333333,0.142113578733812,0.645243121521655
"Kuwait","Kuwait","0",2020-05-01,2020-05-31,31,2020,"5",4268886,1347,186,590.683024995434,756.316975004566,1161,4.35710862271796,17.7169635123675,1.28041088536515,304.161290322581,42,133.380037902195,170.781252420386,262.161290322581,0.983863237387927,4.00060466408299
"Kuwait","Kuwait","0",2020-06-01,2020-06-30,30,2020,"6",4268886,1235,142,578.15131451171,656.84868548829,1093,3.32639475497823,15.3868874804408,1.13611898650277,288.166666666667,33.1333333333333,134.901973386066,153.264693280601,255.033333333333,0.776158776161587,3.59027374543619
"Kuwait","Kuwait","0",2020-07-01,2020-07-31,31,2020,"7",4268886,1047,93,578.083024995434,468.916975004566,954,2.17855431135898,10.984527930813,0.811158526940434,236.41935483871,21,130.534876611872,105.884478226838,215.41935483871,0.491931618693964,2.48037727469971
"Kuwait","Kuwait","0",2020-08-01,2020-08-31,31,2020,"8",4268886,907,84,555.083024995434,351.916975004566,823,1.96772647477585,8.24376605523235,0.633989798206243,204.806451612903,18.9677419354839,125.341328224775,79.4651233881279,185.838709677419,0.444325333013903,1.86149556085892
"Kuwait","Kuwait","0",2020-09-01,2020-09-30,30,2020,"9",4268886,878,79,559.35131451171,318.64868548829,799,1.85059989889634,7.46444588795039,0.569675402955755,204.866666666667,18.4333333333333,130.515306719399,74.3513599472676,186.433333333333,0.431806643075813,1.74170404052176
"Kuwait","Kuwait","0",2020-10-01,2020-10-31,31,2020,"10",4268886,906,169,571.883024995434,334.116975004566,737,3.95887826472761,7.82679544510128,0.584240063791426,204.58064516129,38.1612903225806,129.134876611872,75.4457685494181,166.41935483871,0.89394025332559,1.76734090695835
"Kuwait","Kuwait","0",2020-11-01,2020-11-30,30,2020,"11",4268886,903,101,635.35131451171,267.64868548829,802,2.36595683276621,6.26975481397933,0.421260929780223,210.7,23.5666666666667,148.248640052732,62.4513599472676,187.133333333333,0.552056594312115,1.46294278992851
"Kuwait","Kuwait","0",2020-12-01,2020-12-31,31,2020,"12",4268886,802,54,694.883024995434,107.116975004566,748,1.26496701949876,2.50924890017129,0.154151088962448,181.096774193548,12.1935483870968,156.909070160259,24.1877040332891,168.903225806452,0.285637714080366,0.566604590361259
"Kuwait","Kuwait","0",2021-01-01,2021-01-31,31,2021,"1",4268886,764,25,712.563529161335,51.4364708386652,739,0.585632879397576,1.20491554093188,0.072185101725883,172.516129032258,5.64516129032258,160.901442068689,11.6146869635696,166.870967741935,0.132239682444614,0.272077702791069
"Kuwait","Kuwait","0",2021-02-01,2021-02-28,28,2021,"2",4268886,749,124,598.714036721181,150.285963278819,625,2.90473908181198,3.52049605632052,0.25101459805728,187.25,31,149.678509180295,37.5714908197047,156.25,0.726184770452994,0.88012401408013
"Kuwait","Kuwait","0",2021-03-01,2021-03-31,31,2021,"3",4268886,1037,230,645.710699993914,391.289300006086,807,5.3878224904577,9.16607517760105,0.605982369519003,234.161290322581,51.9354838709677,145.80564193411,88.3556483884711,182.225806451613,1.21660507849045,2.0697589110712
"Kuwait","Kuwait","0",2021-04-01,2021-04-30,30,2021,"4",4268886,1098,250,599.268419348949,498.731580651051,848,5.85632879397576,11.6829444649272,0.832234044959149,256.2,58.3333333333333,139.829297848088,116.370702151912,197.866666666667,1.36647671859434,2.72602037514967
"Kuwait","Kuwait","0",2021-05-01,2021-05-31,31,2021,"5",4268886,991,209,606.510699993914,384.489300006086,782,4.89589087176373,9.00678303440491,0.633936548868709,223.774193548387,47.1935483870968,136.954029030884,86.8201645175034,176.58064516129,1.10552374523697,2.03378971744627
"Kuwait","Kuwait","0",2021-06-01,2021-06-30,30,2021,"6",4268886,1032,197,593.468419348949,438.531580651051,835,4.6147870896529,10.2727404913378,0.738929935197111,240.8,45.9666666666667,138.475964514755,102.324035485245,194.833333333333,1.07678365425234,2.39697278131216
"Kuwait","Kuwait","0",2021-07-01,2021-07-31,31,2021,"7",4268886,1461,351,593.910699993914,867.089300006086,1110,8.22228562674197,20.3118401382957,1.45996578275989,329.903225806452,79.258064516129,134.108867740561,195.79435806589,250.645161290323,1.85664514152238,4.5865445473571
"Kuwait","Kuwait","0",2021-08-01,2021-08-31,31,2021,"8",4268886,1135,99,570.910699993914,564.089300006086,1036,2.3191062024144,13.2139696399971,0.988051721595163,256.290322580645,22.3548387096774,128.915319353464,127.375003227181,233.935483870968,0.523669142480671,2.98379959612838
"Kuwait","Kuwait","0",2021-09-01,2021-09-30,30,2021,"9",4268886,738,30,574.668419348949,163.331580651051,708,0.702759455277091,3.8260937549293,0.284218821065706,172.2,7,134.089297848088,38.1107021519119,165.2,0.163977206231321,0.892755209483503
"Kuwait","Kuwait","0",2021-10-01,2021-10-31,31,2021,"10",4268886,602,12,587.710699993914,14.2893000060861,590,0.281103782110836,0.334731356285601,0.0243134930268143,135.935483870968,2.70967741935484,132.708867740561,3.22661613040655,133.225806451613,0.0634750475734147,0.075584499806426
"Kuwait","Kuwait","0",2021-11-01,2021-11-30,30,2021,"11",4268886,634,4,650.668419348949,-16.6684193489488,630,0.0937012607036121,-0.390462976733245,-0.0256173787650966,147.933333333333,0.933333333333333,151.822631181421,-3.88929784808804,147,0.0218636274975095,-0.0911080279044239
"Kuwait","Kuwait","0",2021-12-01,2021-12-31,31,2021,"12",4268886,697,3,710.710699993914,-13.7106999939137,694,0.0702759455277091,-0.321177468639681,-0.0192915345076853,157.387096774194,0.67741935483871,160.483061288948,-3.09596451475472,156.709677419355,0.0158687618933537,-0.072523944531541
