"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"Portugal","Portugal","0",2019-12-30,2020-01-05,7,2020,"1",10270857,2510,0,2770.50491573034,-260.504915730336,2510,0,-2.53635033308648,-0.0940279565111921
"Portugal","Portugal","0",2020-01-06,2020-01-12,7,2020,"2",10270857,2665,0,2807.67158239701,-142.671582397007,2665,0,-1.38909131338316,-0.0508149112921544
"Portugal","Portugal","0",2020-01-13,2020-01-19,7,2020,"3",10270857,2772,0,2867.67158239701,-95.6715823970067,2772,0,-0.931485876952689,-0.0333621126576278
"Portugal","Portugal","0",2020-01-20,2020-01-26,7,2020,"4",10270857,2671,0,2823.50491573034,-152.50491573034,2671,0,-1.48483145788458,-0.054012626250694
"Portugal","Portugal","0",2020-01-27,2020-02-02,7,2020,"5",10270857,2691,0,2711.00491573034,-20.0049157303401,2691,0,-0.194773578585897,-0.00737915140406553
"Portugal","Portugal","0",2020-02-03,2020-02-09,7,2020,"6",10270857,2490,0,2644.33824906367,-154.338249063673,2490,0,-1.50268131533399,-0.058365547266248
"Portugal","Portugal","0",2020-02-10,2020-02-16,7,2020,"7",10270857,2288,0,2607.67158239701,-319.671582397007,2288,0,-3.11241391440857,-0.122588896759446
"Portugal","Portugal","0",2020-02-17,2020-02-23,7,2020,"8",10270857,2360,0,2506.83824906367,-146.838249063673,2360,0,-1.42965917122274,-0.0585750792331809
"Portugal","Portugal","0",2020-02-24,2020-03-01,7,2020,"9",10270857,2309,0,2491.40589887641,-182.405898876408,2309,0,-1.77595597793259,-0.0732140431066134
"Portugal","Portugal","0",2020-03-02,2020-03-08,7,2020,"10",10270857,2182,0,2366.60589887641,-184.605898876408,2182,0,-1.79737580687189,-0.0780044953678404
"Portugal","Portugal","0",2020-03-09,2020-03-15,7,2020,"11",10270857,2362,0,2304.60589887641,57.3941011235934,2362,0,0.558805376450995,0.0249040849680959
"Portugal","Portugal","0",2020-03-16,2020-03-22,7,2020,"12",10270857,2440,14,2240.60589887641,199.394101123592,2426,0.136308002340993,1.94135797162391,0.0889911524483544
"Portugal","Portugal","0",2020-03-23,2020-03-29,7,2020,"13",10270857,2544,105,2188.80589887641,355.194101123593,2439,1.02231001755744,3.45827131196153,0.16227756938426
"Portugal","Portugal","0",2020-03-30,2020-04-05,7,2020,"14",10270857,2654,176,2213.40589887641,440.594101123592,2478,1.71358631514391,4.28975012624158,0.199057073692291
"Portugal","Portugal","0",2020-04-06,2020-04-12,7,2020,"15",10270857,2609,209,2136.20589887641,472.794101123592,2400,2.03488374923339,4.60325853162586,0.221324218499851
"Portugal","Portugal","0",2020-04-13,2020-04-19,7,2020,"16",10270857,2390,210,2037.00589887641,352.994101123592,2180,2.04462003511489,3.43685148302223,0.173290662200979
"Portugal","Portugal","0",2020-04-20,2020-04-26,7,2020,"17",10270857,2311,189,2017.00589887641,293.994101123593,2122,1.8401580316034,2.86241061601376,0.145757680375335
"Portugal","Portugal","0",2020-04-27,2020-05-03,7,2020,"18",10270857,2174,140,2003.60589887641,170.394101123592,2034,1.36308002340993,1.65900568106043,0.0850437210327375
"Portugal","Portugal","0",2020-05-04,2020-05-10,7,2020,"19",10270857,2172,92,1947.00589887641,224.994101123592,2080,0.895738301097951,2.19060689019029,0.115559023859883
"Portugal","Portugal","0",2020-05-11,2020-05-17,7,2020,"20",10270857,2057,83,1985.40589887641,71.5941011235923,1974,0.808111728164456,0.697060635968277,0.0360601835443872
"Portugal","Portugal","0",2020-05-18,2020-05-24,7,2020,"21",10270857,2071,98,1945.20589887641,125.794101123592,1973,0.954156016386948,1.22476733074555,0.0646687845210905
"Portugal","Portugal","0",2020-05-25,2020-05-31,7,2020,"22",10270857,2335,94,1944.00589887641,390.994101123593,2241,0.91521087286095,3.80683034651921,0.201128042538132
"Portugal","Portugal","0",2020-06-01,2020-06-07,7,2020,"23",10270857,2023,69,1907.60589887641,115.394101123593,1954,0.671803725823463,1.12350995757796,0.0604915832937822
"Portugal","Portugal","0",2020-06-08,2020-06-14,7,2020,"24",10270857,1871,38,1901.80589887641,-30.8058988764078,1833,0.36997886349698,-0.29993503829727,-0.016198235001063
"Portugal","Portugal","0",2020-06-15,2020-06-21,7,2020,"25",10270857,1942,13,2012.20589887641,-70.2058988764077,1929,0.126571716459493,-0.683544702028347,-0.0348900174259552
"Portugal","Portugal","0",2020-06-22,2020-06-28,7,2020,"26",10270857,2121,34,1880.00589887641,240.994101123592,2087,0.331033719970982,2.34638746429429,0.128187949446128
"Portugal","Portugal","0",2020-06-29,2020-07-05,7,2020,"27",10270857,2061,50,1838.80589887641,222.194101123593,2011,0.486814294074973,2.1633452897221,0.120836082405089
"Portugal","Portugal","0",2020-07-06,2020-07-12,7,2020,"28",10270857,2236,46,1871.00589887641,364.994101123592,2190,0.447869150548976,3.55368691360022,0.195079075561858
"Portugal","Portugal","0",2020-07-13,2020-07-19,7,2020,"29",10270857,2651,29,1863.20589887641,787.794101123593,2622,0.282352290563485,7.6701885842982,0.422816448573218
"Portugal","Portugal","0",2020-07-20,2020-07-26,7,2020,"30",10270857,2440,28,1882.00589887641,557.994101123593,2412,0.272616004681985,5.43279008872962,0.296489028783983
"Portugal","Portugal","0",2020-07-27,2020-08-02,7,2020,"31",10270857,2217,21,1929.80589887641,287.194101123593,2196,0.204462003511489,2.79620387201957,0.148820200669304
