"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change","total_deaths_per_7_days","covid_deaths_per_7_days","expected_deaths_per_7_days","excess_deaths_per_7_days","non_covid_deaths_per_7_days","covid_deaths_per_100k_per_7_days","excess_deaths_per_100k_per_7_days"
"French Polynesia","French Polynesia","0",2020-01-01,2020-01-31,31,2020,"1",306292,125,0,143.691064586753,-18.691064586753,125,0,-6.1023678668568,-0.130078127269134,28.2258064516129,0,32.4463694228152,-4.22056297120229,28.2258064516129,0,-1.37795403445153
"French Polynesia","French Polynesia","0",2020-02-01,2020-02-29,29,2020,"2",306292,138,0,135.772823860727,2.22717613927259,138,0,0.727141466075701,0.0164036960854343,33.3103448275862,0,32.7727505870721,0.537594240514073,33.3103448275862,0,0.17551690560448
"French Polynesia","French Polynesia","0",2020-03-01,2020-03-31,31,2020,"3",306292,153,0,143.829277504106,9.17072249589421,153,0,2.99411101037383,0.0637611663983533,34.5483870967742,0,32.4775787912497,2.0708083055245,34.5483870967742,0,0.676089582987639
"French Polynesia","French Polynesia","0",2020-04-01,2020-04-30,30,2020,"4",306292,143,0,151.22833306849,-8.22833306848949,143,0,-2.68643420934582,-0.0544099964704562,33.3666666666667,0,35.2866110493142,-1.91994438264755,33.3666666666667,0,-0.626834648847357
"French Polynesia","French Polynesia","0",2020-05-01,2020-05-31,31,2020,"5",306292,125,0,136.829277504106,-11.8292775041058,125,0,-3.86209156755834,-0.0864528244238579,28.2258064516129,0,30.8969336299594,-2.67112717834647,28.2258064516129,0,-0.872085192674464
"French Polynesia","French Polynesia","0",2020-06-01,2020-06-30,30,2020,"6",306292,129,0,127.828333068489,1.17166693151053,129,0,0.382532658871446,0.00916594078468314,30.1,0,29.8266110493142,0.27338895068579,30.1,0,0.0892576204033374
"French Polynesia","French Polynesia","0",2020-07-01,2020-07-31,31,2020,"7",306292,114,0,140.629277504106,-26.6292775041058,114,0,-8.69408195581529,-0.18935799128548,25.741935483871,0,31.7549981460884,-6.01306266221743,25.741935483871,0,-1.96317979647442
"French Polynesia","French Polynesia","0",2020-08-01,2020-08-31,31,2020,"8",306292,116,0,145.429277504106,-29.4292775041058,116,0,-9.60824229953959,-0.202361436494622,26.1935483870968,0,32.8388691138303,-6.64532072673357,26.1935483870968,0,-2.16960309989604
"French Polynesia","French Polynesia","0",2020-09-01,2020-09-30,30,2020,"9",306292,136,7,125.228333068489,10.7716669315105,129,2.28540085931072,3.51679669449758,0.086016212685825,31.7333333333333,1.63333333333333,29.2199443826475,2.51338895068579,30.1,0.533260200505835,0.82058589538277
"French Polynesia","French Polynesia","0",2020-10-01,2020-10-31,31,2020,"10",306292,141,22,134.829277504106,6.17072249589421,119,7.18268841497656,2.01465349924066,0.0457669328956116,31.8387096774194,4.96774193548387,30.4453207267336,1.39338895068579,26.8709677419355,1.62189738402696,0.454921757893053
"French Polynesia","French Polynesia","0",2020-11-01,2020-11-30,30,2020,"11",306292,180,46,139.42833306849,40.5716669315105,134,15.0183485040419,13.2460746384204,0.290985813561875,42,10.7333333333333,32.5332777159809,9.46672228401911,31.2666666666667,3.50428131760978,3.09075074896475
