"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"Canada","Canada","0",2019-12-30,2020-01-05,7,2020,"1",38155012,6220,0,6364.31764981145,-144.317649811452,6220,0,-0.378240347064893,-0.0226760601453837
"Canada","Canada","0",2020-01-06,2020-01-12,7,2020,"2",38155012,6210,0,6395.15098314585,-185.150983145854,6210,0,-0.485259926391464,-0.0289517766873388
"Canada","Canada","0",2020-01-13,2020-01-19,7,2020,"3",38155012,6135,0,6348.48431647919,-213.484316479186,6135,0,-0.559518410003869,-0.033627603981793
"Canada","Canada","0",2020-01-20,2020-01-26,7,2020,"4",38155012,6165,0,6276.81764981252,-111.81764981252,6165,0,-0.293061498218164,-0.017814385577357
"Canada","Canada","0",2020-01-27,2020-02-02,7,2020,"5",38155012,5845,0,6045.98431647919,-200.98431647919,5845,0,-0.526757314292523,-0.0332426129408537
"Canada","Canada","0",2020-02-03,2020-02-09,7,2020,"6",38155012,5900,0,6057.65098314585,-157.650983145853,5900,0,-0.413185515826475,-0.0260251017406722
"Canada","Canada","0",2020-02-10,2020-02-16,7,2020,"7",38155012,5735,0,6025.15098314585,-290.150983145854,5735,0,-0.760453130366868,-0.0481566327478752
"Canada","Canada","0",2020-02-17,2020-02-23,7,2020,"8",38155012,5680,0,5975.15098314586,-295.150983145855,5680,0,-0.773557568651414,-0.0493964058780086
"Canada","Canada","0",2020-02-24,2020-03-01,7,2020,"9",38155012,5775,0,5959.1811797751,-184.181179775101,5775,0,-0.482718180707428,-0.030907128717649
"Canada","Canada","0",2020-03-02,2020-03-08,7,2020,"10",38155012,5770,0,5972.1811797751,-202.181179775103,5770,0,-0.52989415853179,-0.0338538255436378
"Canada","Canada","0",2020-03-09,2020-03-15,7,2020,"11",38155012,5680,1,5866.18117977511,-186.181179775105,5679,0.00262088765690861,-0.487959956021257,-0.0317380548042062
"Canada","Canada","0",2020-03-16,2020-03-22,7,2020,"12",38155012,5880,21,5842.1811797751,37.8188202249039,5859,0.0550386407950809,0.0991188791262964,0.00647340762998372
"Canada","Canada","0",2020-03-23,2020-03-29,7,2020,"13",38155012,5930,76,5787.18117977511,142.818820224895,5854,0.199187461925055,0.374312083101677,0.0246784774466737
"Canada","Canada","0",2020-03-30,2020-04-05,7,2020,"14",38155012,6305,337,5735.1811797751,569.818820224898,5968,0.883239140378203,1.49343111260166,0.0993549815364758
"Canada","Canada","0",2020-04-06,2020-04-12,7,2020,"15",38155012,6590,660,5643.1811797751,946.818820224899,5930,1.72978585355968,2.48150575925621,0.167781042299024
"Canada","Canada","0",2020-04-13,2020-04-19,7,2020,"16",38155012,6625,1012,5644.1811797751,980.818820224898,5613,2.65233830879152,2.5706159395911,0.173775218935119
"Canada","Canada","0",2020-04-20,2020-04-26,7,2020,"17",38155012,6940,1142,5590.1811797751,1349.8188202249,5798,2.99305370418964,3.53772348499037,0.241462445816327
"Canada","Canada","0",2020-04-27,2020-05-03,7,2020,"18",38155012,6900,1309,5609.1811797751,1290.8188202249,5591,3.43074194289337,3.38309111323278,0.230126069893976
"Canada","Canada","0",2020-05-04,2020-05-10,7,2020,"19",38155012,6440,1146,5519.1811797751,920.8188202249,5294,3.00353725481727,2.41336268017659,0.166839752171793
"Canada","Canada","0",2020-05-11,2020-05-17,7,2020,"20",38155012,6120,838,5399.1811797751,720.818820224901,5282,2.19630385648942,1.88918514879487,0.133505210553969
"Canada","Canada","0",2020-05-18,2020-05-24,7,2020,"21",38155012,5925,676,5354.1811797751,570.818820224898,5249,1.77172005607022,1.49605200025857,0.106611786388759
"Canada","Canada","0",2020-05-25,2020-05-31,7,2020,"22",38155012,5885,610,5294.1811797751,590.818820224896,5275,1.59874147071425,1.54846975339674,0.111597771244012
"Canada","Canada","0",2020-06-01,2020-06-07,7,2020,"23",38155012,5550,365,5245.1811797751,304.818820224897,5185,0.956623994771644,0.798895883520877,0.0581140688524255
"Canada","Canada","0",2020-06-08,2020-06-14,7,2020,"24",38155012,5200,225,5237.1811797751,-37.1811797751034,4975,0.589699722804438,-0.0974476951418686,-0.00709946410078177
"Canada","Canada","0",2020-06-15,2020-06-21,7,2020,"25",38155012,5305,157,5193.18117977511,111.818820224893,5148,0.411479362134652,0.293064565737505,0.0215318542438636
"Canada","Canada","0",2020-06-22,2020-06-28,7,2020,"26",38155012,5295,115,5225.1811797751,69.8188202248966,5180,0.30140208054449,0.182987284147353,0.0133619902971291
"Canada","Canada","0",2020-06-29,2020-07-05,7,2020,"27",38155012,5155,79,5244.1811797751,-89.1811797751016,5076,0.20705012489578,-0.233733853301112,-0.0170057396413078
"Canada","Canada","0",2020-07-06,2020-07-12,7,2020,"28",38155012,5395,73,5197.18117977511,197.818820224895,5322,0.191324798954329,0.518460904231651,0.0380627138793446
"Canada","Canada","0",2020-07-13,2020-07-19,7,2020,"29",38155012,5275,58,5129.1811797751,145.818820224902,5217,0.1520114841007,0.382174746072422,0.0284292590013939
"Canada","Canada","0",2020-07-20,2020-07-26,7,2020,"30",38155012,5285,35,5171.1811797751,113.818820224898,5250,0.0917310679918014,0.298306341051334,0.0220102170602825
"Canada","Canada","0",2020-07-27,2020-08-02,7,2020,"31",38155012,5225,53,5163.1811797751,61.8188202248957,5172,0.138907045816156,0.162020182892082,0.0119730100634563
"Canada","Canada","0",2020-08-03,2020-08-09,7,2020,"32",38155012,5245,33,5185.1811797751,59.8188202248984,5212,0.0864892926779842,0.156778407578272,0.0115364956692783
"Canada","Canada","0",2020-08-10,2020-08-16,7,2020,"33",38155012,5415,38,5160.1811797751,254.818820224897,5377,0.0995937309625273,0.667851500675446,0.0493817583815928
"Canada","Canada","0",2020-08-17,2020-08-23,7,2020,"34",38155012,5415,42,5170.1811797751,244.818820224903,5373,0.110077281590162,0.641642624106377,0.0473520775601819
"Canada","Canada","0",2020-08-24,2020-08-30,7,2020,"35",38155012,5250,38,5212.1811797751,37.8188202248957,5212,0.0995937309625273,0.099118879126275,0.00725585295684739
"Canada","Canada","0",2020-08-31,2020-09-06,7,2020,"36",38155012,5450,22,5254.1811797751,195.818820224898,5428,0.0576595284519895,0.513219128917843,0.0372691411896231
"Canada","Canada","0",2020-09-07,2020-09-13,7,2020,"37",38155012,5330,28,5243.1811797751,86.8188202248966,5302,0.0733848543934412,0.227542374314799,0.0165584245991326
