"country","region","region_code","start_date","end_date","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths"
"Switzerland","Switzerland",0,"2020-01-06","2020-01-12",2020,1,8570146,1345,0,1407.9,-62.9000000000001,1345
"Switzerland","Switzerland",0,"2020-01-13","2020-01-19",2020,2,8570146,1388,0,1395.7,-7.70000000000005,1388
"Switzerland","Switzerland",0,"2020-01-20","2020-01-26",2020,3,8570146,1393,0,1391.1,1.90000000000009,1393
"Switzerland","Switzerland",0,"2020-01-27","2020-02-02",2020,4,8570146,1405,0,1399.1,5.90000000000009,1405
"Switzerland","Switzerland",0,"2020-02-03","2020-02-09",2020,5,8570146,1359,0,1400,-41,1359
"Switzerland","Switzerland",0,"2020-02-10","2020-02-16",2020,6,8570146,1359,0,1438.6,-79.5999999999999,1359
"Switzerland","Switzerland",0,"2020-02-17","2020-02-23",2020,7,8570146,1335,0,1429.5,-94.5,1335
"Switzerland","Switzerland",0,"2020-02-24","2020-03-01",2020,8,8570146,1312,0,1425.2,-113.2,1312
"Switzerland","Switzerland",0,"2020-03-02","2020-03-08",2020,9,8570146,1326,2,1405,-79,1324
"Switzerland","Switzerland",0,"2020-03-09","2020-03-15",2020,10,8570146,1360,11,1376.9,-16.9000000000001,1349
"Switzerland","Switzerland",0,"2020-03-16","2020-03-22",2020,11,8570146,1483,47,1333.1,149.9,1436
"Switzerland","Switzerland",0,"2020-03-23","2020-03-29",2020,12,8570146,1581,197,1269.6,311.4,1384
"Switzerland","Switzerland",0,"2020-03-30","2020-04-05",2020,13,8570146,1843.6,302,1277,566.6,1541.6
"Switzerland","Switzerland",0,"2020-04-06","2020-04-12",2020,14,8570146,1638.5,299,1235.8,402.7,1339.5
"Switzerland","Switzerland",0,"2020-04-13","2020-04-19",2020,15,8570146,1567.4,276,1215.1,352.3,1291.4
"Switzerland","Switzerland",0,"2020-04-20","2020-04-26",2020,16,8570146,1387.3,202,1191.8,195.5,1185.3
"Switzerland","Switzerland",0,"2020-04-27","2020-05-03",2020,17,8570146,1278.8,136,1195.2,83.5999999999999,1142.8
