"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"Poland","Poland","0",2019-12-30,2020-01-05,7,2020,"1",37797000,8463,0,8689.7595973772,-226.7595973772,8463,0,-0.599940729098078,-0.0260950369036265
"Poland","Poland","0",2020-01-06,2020-01-12,7,2020,"2",37797000,8242,0,8660.42626404464,-418.426264044645,8242,0,-1.10703564845,-0.0483147424026712
"Poland","Poland","0",2020-01-13,2020-01-19,7,2020,"3",37797000,8059,0,8652.25959737798,-593.259597377979,8059,0,-1.56959440531783,-0.0685670131254226
"Poland","Poland","0",2020-01-20,2020-01-26,7,2020,"4",37797000,8015,0,8707.59293071131,-692.592930711315,8015,0,-1.8324018591722,-0.0795389651563256
"Poland","Poland","0",2020-01-27,2020-02-02,7,2020,"5",37797000,8560,0,9012.59293071131,-452.592930711313,8560,0,-1.19743082972541,-0.0502178378842627
"Poland","Poland","0",2020-02-03,2020-02-09,7,2020,"6",37797000,8343,0,8933.42626404465,-590.426264044647,8343,0,-1.56209821955353,-0.0660918047111444
"Poland","Poland","0",2020-02-10,2020-02-16,7,2020,"7",37797000,8624,0,9028.75959737798,-404.759597377981,8624,0,-1.07087757593984,-0.0448300337396873
"Poland","Poland","0",2020-02-17,2020-02-23,7,2020,"8",37797000,8474,0,8930.09293071131,-456.092930711315,8474,0,-1.20669082390485,-0.0510737048595289
"Poland","Poland","0",2020-02-24,2020-03-01,7,2020,"9",37797000,8471,0,9019.91151685363,-548.911516853626,8471,0,-1.45226212888226,-0.0608555323217961
"Poland","Poland","0",2020-03-02,2020-03-08,7,2020,"10",37797000,8364,0,8860.91151685363,-496.91151685363,8364,0,-1.31468507250213,-0.056079051902109
"Poland","Poland","0",2020-03-09,2020-03-15,7,2020,"11",37797000,8410,3,8639.11151685363,-229.111516853629,8407,0.00793713786808477,-0.606163232144427,-0.026520263849664
"Poland","Poland","0",2020-03-16,2020-03-22,7,2020,"12",37797000,8322,4,8506.91151685363,-184.911516853626,8318,0.0105828504907797,-0.489222734221304,-0.0217366216266957
"Poland","Poland","0",2020-03-23,2020-03-29,7,2020,"13",37797000,8148,15,8377.11151685363,-229.111516853629,8133,0.0396856893404238,-0.606163232144427,-0.0273497035813224
"Poland","Poland","0",2020-03-30,2020-04-05,7,2020,"14",37797000,7991,72,8188.11151685363,-197.11151685363,7919,0.190491308834034,-0.521500428218192,-0.0240728910992375
"Poland","Poland","0",2020-04-06,2020-04-12,7,2020,"15",37797000,7996,138,8035.51151685363,-39.5115168536267,7858,0.365108341931899,-0.104536118881463,-0.00491711283976826
"Poland","Poland","0",2020-04-13,2020-04-19,7,2020,"16",37797000,8184,128,7838.31151685363,345.688483146371,8056,0.33865121570495,0.914592383380615,0.0441024170069135
"Poland","Poland","0",2020-04-20,2020-04-26,7,2020,"17",37797000,7743,175,7848.71151685363,-105.711516853632,7568,0.462999708971612,-0.279682294503881,-0.0134686459843296
"Poland","Poland","0",2020-04-27,2020-05-03,7,2020,"18",37797000,7757,143,7656.51151685363,100.488483146374,7614,0.378336905045374,0.265863648295828,0.0131245780699445
"Poland","Poland","0",2020-05-04,2020-05-10,7,2020,"19",37797000,7581,122,7516.71151685362,64.2884831463753,7459,0.322776939968781,0.170088851354275,0.00855274051721033
"Poland","Poland","0",2020-05-11,2020-05-17,7,2020,"20",37797000,7558,125,7398.51151685362,159.488483146376,7433,0.330714077836865,0.421960693034833,0.0215568338013754
"Poland","Poland","0",2020-05-18,2020-05-24,7,2020,"21",37797000,7546,71,7496.51151685363,49.4884831463714,7475,0.18784559621134,0.13093230453838,0.00660153499866056
"Poland","Poland","0",2020-05-25,2020-05-31,7,2020,"22",37797000,7632,68,7469.91151685363,162.088483146369,7564,0.179908458343255,0.428839545853822,0.0216988491470969
"Poland","Poland","0",2020-06-01,2020-06-07,7,2020,"23",37797000,7808,93,7438.11151685363,369.888483146369,7715,0.246051273910628,0.978618628849827,0.0497288165562264
"Poland","Poland","0",2020-06-08,2020-06-14,7,2020,"24",37797000,7740,90,7425.71151685363,314.288483146371,7650,0.238114136042543,0.831517007027994,0.0423243594143203
"Poland","Poland","0",2020-06-15,2020-06-21,7,2020,"25",37797000,7395,109,7392.71151685363,2.28848314636616,7286,0.288382675873747,0.00605466874716555,0.000309559373600443
"Poland","Poland","0",2020-06-22,2020-06-28,7,2020,"26",37797000,7375,82,7235.91151685363,139.088483146368,7293,0.216948435060984,0.367988155531836,0.0192219712502575
"Poland","Poland","0",2020-06-29,2020-07-05,7,2020,"27",37797000,7657,79,7249.31151685363,407.688483146372,7578,0.209011297192899,1.0786265659877,0.0562382347894077
"Poland","Poland","0",2020-07-06,2020-07-12,7,2020,"28",37797000,7309,54,7229.31151685363,79.6884831463667,7255,0.142868481625526,0.210832825743754,0.0110229698859414
"Poland","Poland","0",2020-07-13,2020-07-19,7,2020,"29",37797000,7505,53,7296.71151685362,208.288483146376,7452,0.140222769002831,0.551071469022346,0.0285455280320841
"Poland","Poland","0",2020-07-20,2020-07-26,7,2020,"30",37797000,7569,47,7554.31151685363,14.6884831463703,7522,0.124348493266661,0.0388615052685937,0.00194438409292497
"Poland","Poland","0",2020-07-27,2020-08-02,7,2020,"31",37797000,7787,60,7440.71151685363,346.288483146369,7727,0.158742757361695,0.916179810954226,0.0465397001835115
