"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"Australia","Australia","0",2019-12-30,2020-01-05,7,2020,"1",26177410,2928,0,2964.08146067379,-36.0814606737931,2928,0,-0.137834341418013,-0.0121728977939732
"Australia","Australia","0",2020-01-06,2020-01-12,7,2020,"2",26177410,2903,0,2954.41479400743,-51.4147940074276,2903,0,-0.196409018338436,-0.0174026998888966
"Australia","Australia","0",2020-01-13,2020-01-19,7,2020,"3",26177410,2915,0,2931.41479400743,-16.4147940074272,2915,0,-0.0627059514574864,-0.00559961491665506
"Australia","Australia","0",2020-01-20,2020-01-26,7,2020,"4",26177410,3010,0,2939.08146067409,70.9185393259058,3010,0,0.270915034474021,0.0241294908885037
"Australia","Australia","0",2020-01-27,2020-02-02,7,2020,"5",26177410,2911,0,2897.74812734076,13.2518726592398,2911,0,0.0506233147558898,0.00457316235811045
"Australia","Australia","0",2020-02-03,2020-02-09,7,2020,"6",26177410,2918,0,2929.41479400743,-11.4147940074272,2918,0,-0.0436055133316367,-0.00389661239875549
"Australia","Australia","0",2020-02-10,2020-02-16,7,2020,"7",26177410,3031,0,2935.24812734076,95.7518726592393,3031,0,0.365780543832409,0.0326213895743075
"Australia","Australia","0",2020-02-17,2020-02-23,7,2020,"8",26177410,3059,0,2988.91479400743,70.0852059925724,3059,0,0.267731628119712,0.0234483787002187
"Australia","Australia","0",2020-02-24,2020-03-01,7,2020,"9",26177410,3091,1,2950.29775280893,140.702247191065,3090,0.00382008762516995,0.537494913328192,0.0476908634245832
"Australia","Australia","0",2020-03-02,2020-03-08,7,2020,"10",26177410,2998,2,2988.69775280893,9.30224719106582,2996,0.00764017525033989,0.0355353993808624,0.00311247505115664
"Australia","Australia","0",2020-03-09,2020-03-15,7,2020,"11",26177410,2977,0,2926.29775280893,50.7022471910655,2977,0,0.193687027062897,0.0173264142865834
"Australia","Australia","0",2020-03-16,2020-03-22,7,2020,"12",26177410,3096,4,2961.69775280893,134.302247191065,3092,0.0152803505006798,0.513046352527104,0.0453463717098379
"Australia","Australia","0",2020-03-23,2020-03-29,7,2020,"13",26177410,3144,9,2978.69775280893,165.302247191066,3135,0.0343807886265295,0.631469068907374,0.0554948037393805
"Australia","Australia","0",2020-03-30,2020-04-05,7,2020,"14",26177410,3218,19,2996.09775280893,221.902247191066,3199,0.072581664878229,0.847686028491994,0.07406375408914
