"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"New Zealand","New Zealand","0","2019-12-30","2020-01-05",7,2020,"1",5110490,592,0,604.783239700211,-12.7832397002107,592,0,-0.250137260814731,-0.0211368947766267
"New Zealand","New Zealand","0","2020-01-06","2020-01-12",7,2020,"2",5110490,581,0,618.449906367006,-37.449906367006,581,0,-0.732804611045241,-0.060554470105752
"New Zealand","New Zealand","0","2020-01-13","2020-01-19",7,2020,"3",5110490,641,0,617.116573033673,23.8834269663274,641,0,0.467341232764909,0.0387016457019123
"New Zealand","New Zealand","0","2020-01-20","2020-01-26",7,2020,"4",5110490,609,0,620.116573033673,-11.1165730336726,609,0,-0.217524602018057,-0.0179265859309149
"New Zealand","New Zealand","0","2020-01-27","2020-02-02",7,2020,"5",5110490,615,0,611.616573033673,3.38342696632731,615,0,0.0662055295348842,0.00553194127743328
"New Zealand","New Zealand","0","2020-02-03","2020-02-09",7,2020,"6",5110490,588,0,602.116573033672,-14.1165730336725,588,0,-0.276227387856594,-0.0234449169245554
"New Zealand","New Zealand","0","2020-02-10","2020-02-16",7,2020,"7",5110490,618,0,595.449906367006,22.5500936329942,618,0,0.44125110572556,0.0378706812980762
"New Zealand","New Zealand","0","2020-02-17","2020-02-23",7,2020,"8",5110490,622,0,609.283239700339,12.7167602996608,622,0,0.248836418810345,0.0208716725999474
"New Zealand","New Zealand","0","2020-02-24","2020-03-01",7,2020,"9",5110490,594,0,614.339887640417,-20.339887640417,594,0,-0.398002689378456,-0.0331085251822723
"New Zealand","New Zealand","0","2020-03-02","2020-03-08",7,2020,"10",5110490,612,0,615.539887640417,-3.53988764041674,612,0,-0.0692670886826261,-0.00575086637193634
"New Zealand","New Zealand","0","2020-03-09","2020-03-15",7,2020,"11",5110490,600,0,625.939887640417,-25.9398876404167,600,0,-0.507581222943724,-0.0414414996593385
