"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"South Korea","South Korea","0",2019-12-30,2020-01-05,7,2020,"1",51305184,6438,0,6423.28487827564,14.7151217243554,6438,0,0.0286815494597104,0.0022909028640663
"South Korea","South Korea","0",2020-01-06,2020-01-12,7,2020,"2",51305184,6320,0,6433.28487827677,-113.284878276766,6320,0,-0.220805909743479,-0.0176091810669374
"South Korea","South Korea","0",2020-01-13,2020-01-19,7,2020,"3",51305184,6403,0,6415.28487827677,-12.2848782767651,6403,0,-0.0239447114676854,-0.00191493885460392
"South Korea","South Korea","0",2020-01-20,2020-01-26,7,2020,"4",51305184,6490,0,6365.45154494343,124.548455056568,6490,0,0.242759981245887,0.0195663189291742
"South Korea","South Korea","0",2020-01-27,2020-02-02,7,2020,"5",51305184,6434,0,6359.78487827677,74.2151217232322,6434,0,0.144654235570488,0.0116694390051981
"South Korea","South Korea","0",2020-02-03,2020-02-09,7,2020,"6",51305184,6431,0,6225.6182116101,205.381788389901,6431,0,0.400313910559021,0.0329897821242695
"South Korea","South Korea","0",2020-02-10,2020-02-16,7,2020,"7",51305184,6161,0,6181.78487827677,-20.7848782767669,6161,0,-0.0405122380552556,-0.00336227783496745
"South Korea","South Korea","0",2020-02-17,2020-02-23,7,2020,"8",51305184,5970,6,6187.6182116101,-217.6182116101,5964,0.0116947246500471,-0.424164177269299,-0.0351699481396207
"South Korea","South Korea","0",2020-02-24,2020-03-01,7,2020,"9",51305184,6012,11,6200.5418539322,-188.541853932201,6001,0.0214403285250863,-0.367490844457747,-0.0304073189688467
"South Korea","South Korea","0",2020-03-02,2020-03-08,7,2020,"10",51305184,5961,33,6128.3418539322,-167.341853932204,5928,0.0643209855752588,-0.326169484027586,-0.027306220494999
"South Korea","South Korea","0",2020-03-09,2020-03-15,7,2020,"11",51305184,5933,25,6046.14185393221,-113.141853932206,5908,0.0487280193751961,-0.220527138022165,-0.0187130663926818
"South Korea","South Korea","0",2020-03-16,2020-03-22,7,2020,"12",51305184,5838,36,5942.9418539322,-104.941853932198,5802,0.0701683479002824,-0.204544347667085,-0.0176582333314875
"South Korea","South Korea","0",2020-03-23,2020-03-29,7,2020,"13",51305184,5708,41,5925.5418539322,-217.541853932205,5667,0.0799139517753216,-0.424015346932981,-0.0367125672714375
"South Korea","South Korea","0",2020-03-30,2020-04-05,7,2020,"14",51305184,5649,31,5931.9418539322,-282.941853932202,5618,0.0604227440252431,-0.55148784561849,-0.0476980154053001
"South Korea","South Korea","0",2020-04-06,2020-04-12,7,2020,"15",51305184,5874,31,5778.1418539322,95.8581460677988,5843,0.0604227440252431,0.186839103954483,0.0165897875979912
"South Korea","South Korea","0",2020-04-13,2020-04-19,7,2020,"16",51305184,5745,20,5847.7418539322,-102.741853932203,5725,0.0389824155001569,-0.200256281962077,-0.0175694920361636
"South Korea","South Korea","0",2020-04-20,2020-04-26,7,2020,"17",51305184,5578,9,5695.9418539322,-117.941853932204,5569,0.0175420869750706,-0.2298829177422,-0.0207062952812243
"South Korea","South Korea","0",2020-04-27,2020-05-03,7,2020,"18",51305184,5982,9,5796.1418539322,185.8581460678,5973,0.0175420869750706,0.362259973705191,0.0320658380611769
"South Korea","South Korea","0",2020-05-04,2020-05-10,7,2020,"19",51305184,5529,4,5683.7418539322,-154.741853932201,5525,0.00779648310003137,-0.301610562262481,-0.0272253487067055
"South Korea","South Korea","0",2020-05-11,2020-05-17,7,2020,"20",51305184,5437,7,5703.7418539322,-266.7418539322,5430,0.0136438454250549,-0.519912089063358,-0.0467661161327464
"South Korea","South Korea","0",2020-05-18,2020-05-24,7,2020,"21",51305184,5496,4,5599.3418539322,-103.341853932203,5492,0.00779648310003137,-0.201425754427083,-0.018456071557701
"South Korea","South Korea","0",2020-05-25,2020-05-31,7,2020,"22",51305184,5390,4,5642.9418539322,-252.941853932203,5386,0.00779648310003137,-0.493014222368257,-0.044824465762649
"South Korea","South Korea","0",2020-06-01,2020-06-07,7,2020,"23",51305184,5636,2,5517.5418539322,118.458146067797,5634,0.00389824155001569,0.230889233469657,0.0214693697309021
"South Korea","South Korea","0",2020-06-08,2020-06-14,7,2020,"24",51305184,5540,4,5456.5418539322,83.4581460677973,5536,0.00779648310003137,0.162670006344383,0.0152950620194829
"South Korea","South Korea","0",2020-06-15,2020-06-21,7,2020,"25",51305184,5440,3,5500.94185393221,-60.9418539322069,5437,0.00584736232502353,-0.118783033566758,-0.0110784399381797
"South Korea","South Korea","0",2020-06-22,2020-06-28,7,2020,"26",51305184,5435,2,5443.9418539322,-8.94185393220232,5433,0.00389824155001569,-0.0174287532663411,-0.00164253296088079
"South Korea","South Korea","0",2020-06-29,2020-07-05,7,2020,"27",51305184,5422,2,5424.7418539322,-2.74185393220068,5420,0.00389824155001569,-0.0053442044612893,-0.000505434913960601
"South Korea","South Korea","0",2020-07-06,2020-07-12,7,2020,"28",51305184,5210,5,5383.94185393221,-173.941853932206,5205,0.00974560387503922,-0.339033681142642,-0.0323075283224253
"South Korea","South Korea","0",2020-07-13,2020-07-19,7,2020,"29",51305184,5437,7,5375.9418539322,61.0581460678022,5430,0.0136438454250549,0.119009700984217,0.0113576648942253
"South Korea","South Korea","0",2020-07-20,2020-07-26,7,2020,"30",51305184,5522,3,5503.3418539322,18.6581460677971,5519,0.00584736232502353,0.0363669801238743,0.00339033019627255
"South Korea","South Korea","0",2020-07-27,2020-08-02,7,2020,"31",51305184,5507,2,5599.5418539322,-92.5418539322036,5505,0.00389824155001569,-0.180375250056999,-0.0165266831369815
"South Korea","South Korea","0",2020-08-03,2020-08-09,7,2020,"32",51305184,5421,4,5578.1418539322,-157.141853932201,5417,0.00779648310003137,-0.306288452122501,-0.0281710035433085
"South Korea","South Korea","0",2020-08-10,2020-08-16,7,2020,"33",51305184,5690,0,5433.7418539322,256.258146067796,5690,0,0.499478076265735,0.0471605300649958
"South Korea","South Korea","0",2020-08-17,2020-08-23,7,2020,"34",51305184,5954,4,5474.7418539322,479.258146067801,5950,0.00779648310003137,0.934132009092495,0.0875398619431849
"South Korea","South Korea","0",2020-08-24,2020-08-30,7,2020,"35",51305184,5814,15,5462.1418539322,351.858146067797,5799,0.0292368116251177,0.685814022356487,0.0644176140929942
"South Korea","South Korea","0",2020-08-31,2020-09-06,7,2020,"36",51305184,5617,12,5552.7418539322,64.2581460677984,5605,0.0233894493000941,0.125246887464234,0.0115723272858963
"South Korea","South Korea","0",2020-09-07,2020-09-13,7,2020,"37",51305184,5630,27,5529.5418539322,100.458146067796,5603,0.0526262609252118,0.195805059519514,0.0181675351632176
"South Korea","South Korea","0",2020-09-14,2020-09-20,7,2020,"38",51305184,5733,22,5562.7418539322,170.258146067799,5711,0.0428806570501725,0.331853689615068,0.0306068752673552
"South Korea","South Korea","0",2020-09-21,2020-09-27,7,2020,"39",51305184,5763,21,5650.1418539322,112.8581460678,5742,0.0409315362751647,0.219974157129618,0.019974391614479
"South Korea","South Korea","0",2020-09-28,2020-10-04,7,2020,"40",51305184,5776,16,5763.3418539322,12.658146067798,5760,0.0311859324001255,0.024672255473829,0.0021963205356561
"South Korea","South Korea","0",2020-10-05,2020-10-11,7,2020,"41",51305184,5951,11,5753.9418539322,197.058146067798,5940,0.0214403285250863,0.384090126385275,0.0342475038973724
"South Korea","South Korea","0",2020-10-12,2020-10-18,7,2020,"42",51305184,5884,11,5898.3418539322,-14.3418539322029,5873,0.0214403285250863,-0.0279540054513845,-0.00243150605498421
"South Korea","South Korea","0",2020-10-19,2020-10-25,7,2020,"43",51305184,6043,13,5874.9418539322,168.058146067798,6030,0.025338570075102,0.327565623910047,0.0286059250025281
"South Korea","South Korea","0",2020-10-26,2020-11-01,7,2020,"44",51305184,6081,11,5894.1418539322,186.858146067798,6070,0.0214403285250863,0.364209094480195,0.0317023496716724
"South Korea","South Korea","0",2020-11-02,2020-11-08,7,2020,"45",51305184,6062,12,5922.3418539322,139.658146067797,6050,0.0233894493000941,0.272210593899823,0.0235815745717329
"South Korea","South Korea","0",2020-11-09,2020-11-15,7,2020,"46",51305184,6029,14,5909.7418539322,119.258146067797,6015,0.0272876908501098,0.232448530089664,0.0201799247776695
"South Korea","South Korea","0",2020-11-16,2020-11-22,7,2020,"47",51305184,5943,15,5908.5418539322,34.4581460677982,5928,0.0292368116251177,0.0671630883690004,0.00583192045002878
"South Korea","South Korea","0",2020-11-23,2020-11-29,7,2020,"48",51305184,5802,17,5984.1418539322,-182.141853932202,5785,0.0331350531751333,-0.355016471497699,-0.030437422504033
"South Korea","South Korea","0",2020-11-30,2020-12-06,7,2020,"49",51305184,6161,23,5993.5418539322,167.458146067797,6138,0.0448297778251804,0.326396151445042,0.0279397641910071
"South Korea","South Korea","0",2020-12-07,2020-12-13,7,2020,"50",51305184,6027,38,6115.7418539322,-88.7418539322025,5989,0.0740665894502981,-0.172968591111967,-0.0145103989101739
"South Korea","South Korea","0",2020-12-14,2020-12-20,7,2020,"51",51305184,5922,111,6219.3418539322,-297.341853932202,5811,0.216352406025871,-0.579555184778602,-0.0478092153342892
"South Korea","South Korea","0",2020-12-21,2020-12-27,7,2020,"52",51305184,6138,121,6258.3418539322,-120.341853932202,6017,0.235843613775949,-0.234560807602214,-0.0192290317053533
"South Korea","South Korea","0",2020-12-28,2021-01-03,7,2020,"53",51305184,6157,162,6201.43539325805,-44.4353932580489,5995,0.315757565551271,-0.0866099481449065,-0.00716534002859359
"South Korea","South Korea","0",2021-01-04,2021-01-10,7,2021,"1",51305184,6208,159,6533.46549625319,-325.465496253186,6049,0.309910203226247,-0.634371560295322,-0.0498151396743174
"South Korea","South Korea","0",2021-01-11,2021-01-17,7,2021,"2",51305184,6321,124,6543.46549625431,-222.465496254307,6197,0.241690976100973,-0.4336121204717,-0.0339981155828901
"South Korea","South Korea","0",2021-01-18,2021-01-24,7,2021,"3",51305184,6182,96,6525.46549625431,-343.465496254306,6086,0.187115594400753,-0.669455734247647,-0.0526346352534481
"South Korea","South Korea","0",2021-01-25,2021-01-31,7,2021,"4",51305184,5830,65,6475.63216292097,-645.632162920973,5765,0.12669285037551,-1.25841506176252,-0.0997017969330962
"South Korea","South Korea","0",2021-02-01,2021-02-07,7,2021,"5",51305184,6071,49,6469.96549625431,-398.965496254309,6022,0.0955069179753843,-0.777631937260588,-0.0616642386246549
"South Korea","South Korea","0",2021-02-08,2021-02-14,7,2021,"6",51305184,5768,53,6335.79882958764,-567.79882958764,5715,0.103303401075416,-1.10670849477441,-0.0896175596573661
"South Korea","South Korea","0",2021-02-15,2021-02-21,7,2021,"7",51305184,6068,35,6291.96549625431,-223.965496254308,6033,0.0682192271252745,-0.436535801634213,-0.0355954743215992
"South Korea","South Korea","0",2021-02-22,2021-02-28,7,2021,"8",51305184,5901,43,6297.79882958764,-396.798829587641,5858,0.0838121933253373,-0.773408842248068,-0.0630059549891374
"South Korea","South Korea","0",2021-03-01,2021-03-07,7,2021,"9",51305184,5941,37,6310.72247190974,-369.722471909742,5904,0.0721174686752902,-0.720633750986532,-0.0585863938012564
"South Korea","South Korea","0",2021-03-08,2021-03-14,7,2021,"10",51305184,6096,33,6238.52247190975,-142.522471909745,6063,0.0643209855752588,-0.277793510904756,-0.0228455491747417
