"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths"
"North Macedonia","North Macedonia",0,"2015-01-01","2015-01-31",31,2015,1,2082661,2105,0,"TBC"
"North Macedonia","North Macedonia",0,"2015-02-01","2015-02-28",28,2015,2,2082661,1848,0,"TBC"
"North Macedonia","North Macedonia",0,"2015-03-01","2015-03-31",31,2015,3,2082661,1909,0,"TBC"
"North Macedonia","North Macedonia",0,"2015-04-01","2015-04-30",30,2015,4,2082661,1711,0,"TBC"
"North Macedonia","North Macedonia",0,"2015-05-01","2015-05-31",31,2015,5,2082661,1687,0,"TBC"
"North Macedonia","North Macedonia",0,"2015-06-01","2015-06-30",30,2015,6,2082661,1458,0,"TBC"
"North Macedonia","North Macedonia",0,"2015-07-01","2015-07-31",31,2015,7,2082661,1611,0,"TBC"
"North Macedonia","North Macedonia",0,"2015-08-01","2015-08-31",31,2015,8,2082661,1530,0,"TBC"
"North Macedonia","North Macedonia",0,"2015-09-01","2015-09-30",30,2015,9,2082661,1400,0,"TBC"
"North Macedonia","North Macedonia",0,"2015-10-01","2015-10-31",31,2015,10,2082661,1723,0,"TBC"
"North Macedonia","North Macedonia",0,"2015-11-01","2015-11-30",30,2015,11,2082661,1658,0,"TBC"
"North Macedonia","North Macedonia",0,"2015-12-01","2015-12-31",31,2015,12,2082661,1821,0,"TBC"
"North Macedonia","North Macedonia",0,"2016-01-01","2016-01-31",31,2016,1,2082661,1913,0,"TBC"
"North Macedonia","North Macedonia",0,"2016-02-01","2016-02-29",29,2016,2,2082661,1750,0,"TBC"
"North Macedonia","North Macedonia",0,"2016-03-01","2016-03-31",31,2016,3,2082661,1709,0,"TBC"
"North Macedonia","North Macedonia",0,"2016-04-01","2016-04-30",30,2016,4,2082661,1640,0,"TBC"
"North Macedonia","North Macedonia",0,"2016-05-01","2016-05-31",31,2016,5,2082661,1592,0,"TBC"
"North Macedonia","North Macedonia",0,"2016-06-01","2016-06-30",30,2016,6,2082661,1607,0,"TBC"
