"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths"
"Oman","Oman",0,"2015-01-01","2015-01-31",31,2015,1,4520471,732,0,"TBC"
"Oman","Oman",0,"2015-02-01","2015-02-28",28,2015,2,4520471,550,0,"TBC"
"Oman","Oman",0,"2015-03-01","2015-03-31",31,2015,3,4520471,602,0,"TBC"
"Oman","Oman",0,"2015-04-01","2015-04-30",30,2015,4,4520471,587,0,"TBC"
"Oman","Oman",0,"2015-05-01","2015-05-31",31,2015,5,4520471,611,0,"TBC"
"Oman","Oman",0,"2015-06-01","2015-06-30",30,2015,6,4520471,574,0,"TBC"
"Oman","Oman",0,"2015-07-01","2015-07-31",31,2015,7,4520471,660,0,"TBC"
"Oman","Oman",0,"2015-08-01","2015-08-31",31,2015,8,4520471,651,0,"TBC"
"Oman","Oman",0,"2015-09-01","2015-09-30",30,2015,9,4520471,561,0,"TBC"
"Oman","Oman",0,"2015-10-01","2015-10-31",31,2015,10,4520471,551,0,"TBC"
"Oman","Oman",0,"2015-11-01","2015-11-30",30,2015,11,4520471,586,0,"TBC"
"Oman","Oman",0,"2015-12-01","2015-12-31",31,2015,12,4520471,678,0,"TBC"
"Oman","Oman",0,"2016-01-01","2016-01-31",31,2016,1,4520471,801,0,"TBC"
"Oman","Oman",0,"2016-02-01","2016-02-29",29,2016,2,4520471,730,0,"TBC"
"Oman","Oman",0,"2016-03-01","2016-03-31",31,2016,3,4520471,830,0,"TBC"
"Oman","Oman",0,"2016-04-01","2016-04-30",30,2016,4,4520471,722,0,"TBC"
"Oman","Oman",0,"2016-05-01","2016-05-31",31,2016,5,4520471,724,0,"TBC"
"Oman","Oman",0,"2016-06-01","2016-06-30",30,2016,6,4520471,657,0,"TBC"
"Oman","Oman",0,"2016-07-01","2016-07-31",31,2016,7,4520471,750,0,"TBC"
"Oman","Oman",0,"2016-08-01","2016-08-31",31,2016,8,4520471,713,0,"TBC"
"Oman","Oman",0,"2016-09-01","2016-09-30",30,2016,9,4520471,685,0,"TBC"
"Oman","Oman",0,"2016-10-01","2016-10-31",31,2016,10,4520471,731,0,"TBC"
"Oman","Oman",0,"2016-11-01","2016-11-30",30,2016,11,4520471,710,0,"TBC"
"Oman","Oman",0,"2016-12-01","2016-12-31",31,2016,12,4520471,776,0,"TBC"
"Oman","Oman",0,"2017-01-01","2017-01-31",31,2017,1,4520471,773,0,"TBC"
"Oman","Oman",0,"2017-02-01","2017-02-28",28,2017,2,4520471,742,0,"TBC"
"Oman","Oman",0,"2017-03-01","2017-03-31",31,2017,3,4520471,815,0,"TBC"
"Oman","Oman",0,"2017-04-01","2017-04-30",30,2017,4,4520471,713,0,"TBC"
