"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths"
"Thailand","Thailand",0,"2015-01-01","2015-01-31",31,2015,1,71697024,44867,0,"TBC"
"Thailand","Thailand",0,"2015-02-01","2015-02-28",28,2015,2,71697024,38000,0,"TBC"
"Thailand","Thailand",0,"2015-03-01","2015-03-31",31,2015,3,71697024,38987,0,"TBC"
"Thailand","Thailand",0,"2015-04-01","2015-04-30",30,2015,4,71697024,39660,0,"TBC"
"Thailand","Thailand",0,"2015-05-01","2015-05-31",31,2015,5,71697024,38708,0,"TBC"
"Thailand","Thailand",0,"2015-06-01","2015-06-30",30,2015,6,71697024,36867,0,"TBC"
"Thailand","Thailand",0,"2015-07-01","2015-07-31",31,2015,7,71697024,39105,0,"TBC"
"Thailand","Thailand",0,"2015-08-01","2015-08-31",31,2015,8,71697024,40663,0,"TBC"
"Thailand","Thailand",0,"2015-09-01","2015-09-30",30,2015,9,71697024,37147,0,"TBC"
"Thailand","Thailand",0,"2015-10-01","2015-10-31",31,2015,10,71697024,41876,0,"TBC"
"Thailand","Thailand",0,"2015-11-01","2015-11-30",30,2015,11,71697024,39332,0,"TBC"
"Thailand","Thailand",0,"2015-12-01","2015-12-31",31,2015,12,71697024,38329,0,"TBC"
"Thailand","Thailand",0,"2016-01-01","2016-01-31",31,2016,1,71697024,40316,0,"TBC"
"Thailand","Thailand",0,"2016-02-01","2016-02-29",29,2016,2,71697024,40557,0,"TBC"
"Thailand","Thailand",0,"2016-03-01","2016-03-31",31,2016,3,71697024,42396,0,"TBC"
"Thailand","Thailand",0,"2016-04-01","2016-04-30",30,2016,4,71697024,45129,0,"TBC"
"Thailand","Thailand",0,"2016-05-01","2016-05-31",31,2016,5,71697024,41071,0,"TBC"
"Thailand","Thailand",0,"2016-06-01","2016-06-30",30,2016,6,71697024,36132,0,"TBC"
"Thailand","Thailand",0,"2016-07-01","2016-07-31",31,2016,7,71697024,36916,0,"TBC"
"Thailand","Thailand",0,"2016-08-01","2016-08-31",31,2016,8,71697024,40397,0,"TBC"
