"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths"
"Egypt","Egypt",0,"2015-01-01","2015-01-31",31,2015,1,104258327,59713,0,"TBC"
"Egypt","Egypt",0,"2015-02-01","2015-02-28",28,2015,2,104258327,47678,0,"TBC"
"Egypt","Egypt",0,"2015-03-01","2015-03-31",31,2015,3,104258327,46524,0,"TBC"
"Egypt","Egypt",0,"2015-04-01","2015-04-30",30,2015,4,104258327,41648,0,"TBC"
"Egypt","Egypt",0,"2015-05-01","2015-05-31",31,2015,5,104258327,42771,0,"TBC"
"Egypt","Egypt",0,"2015-06-01","2015-06-30",30,2015,6,104258327,40798,0,"TBC"
"Egypt","Egypt",0,"2015-07-01","2015-07-31",31,2015,7,104258327,46374,0,"TBC"
"Egypt","Egypt",0,"2015-08-01","2015-08-31",31,2015,8,104258327,65363,0,"TBC"
"Egypt","Egypt",0,"2015-09-01","2015-09-30",30,2015,9,104258327,44519,0,"TBC"
"Egypt","Egypt",0,"2015-10-01","2015-10-31",31,2015,10,104258327,42403,0,"TBC"
"Egypt","Egypt",0,"2015-11-01","2015-11-30",30,2015,11,104258327,43253,0,"TBC"
"Egypt","Egypt",0,"2015-12-01","2015-12-31",31,2015,12,104258327,52835,0,"TBC"
"Egypt","Egypt",0,"2016-01-01","2016-01-31",31,2016,1,104258327,58640,0,"TBC"
"Egypt","Egypt",0,"2016-02-01","2016-02-29",29,2016,2,104258327,49103,0,"TBC"
"Egypt","Egypt",0,"2016-03-01","2016-03-31",31,2016,3,104258327,44270,0,"TBC"
"Egypt","Egypt",0,"2016-04-01","2016-04-30",30,2016,4,104258327,41935,0,"TBC"
"Egypt","Egypt",0,"2016-05-01","2016-05-31",31,2016,5,104258327,43144,0,"TBC"
"Egypt","Egypt",0,"2016-06-01","2016-06-30",30,2016,6,104258327,44891,0,"TBC"
"Egypt","Egypt",0,"2016-07-01","2016-07-31",31,2016,7,104258327,45934,0,"TBC"
"Egypt","Egypt",0,"2016-08-01","2016-08-31",31,2016,8,104258327,44924,0,"TBC"
"Egypt","Egypt",0,"2016-09-01","2016-09-30",30,2016,9,104258327,41001,0,"TBC"
"Egypt","Egypt",0,"2016-10-01","2016-10-31",31,2016,10,104258327,42853,0,"TBC"
"Egypt","Egypt",0,"2016-11-01","2016-11-30",30,2016,11,104258327,44610,0,"TBC"
"Egypt","Egypt",0,"2016-12-01","2016-12-31",31,2016,12,104258327,54843,0,"TBC"
