"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths"
"Belarus","Belarus",0,"2015-01-01","2015-01-31",31,2015,1,9534956,11366,0,"TBC"
"Belarus","Belarus",0,"2015-02-01","2015-02-28",28,2015,2,9534956,10005,0,"TBC"
"Belarus","Belarus",0,"2015-03-01","2015-03-31",31,2015,3,9534956,11148,0,"TBC"
"Belarus","Belarus",0,"2015-04-01","2015-04-30",30,2015,4,9534956,10410,0,"TBC"
"Belarus","Belarus",0,"2015-05-01","2015-05-31",31,2015,5,9534956,10210,0,"TBC"
"Belarus","Belarus",0,"2015-06-01","2015-06-30",30,2015,6,9534956,9399,0,"TBC"
"Belarus","Belarus",0,"2015-07-01","2015-07-31",31,2015,7,9534956,9342,0,"TBC"
"Belarus","Belarus",0,"2015-08-01","2015-08-31",31,2015,8,9534956,9678,0,"TBC"
"Belarus","Belarus",0,"2015-09-01","2015-09-30",30,2015,9,9534956,8964,0,"TBC"
"Belarus","Belarus",0,"2015-10-01","2015-10-31",31,2015,10,9534956,10202,0,"TBC"
"Belarus","Belarus",0,"2015-11-01","2015-11-30",30,2015,11,9534956,9286,0,"TBC"
"Belarus","Belarus",0,"2015-12-01","2015-12-31",31,2015,12,9534956,10015,0,"TBC"
"Belarus","Belarus",0,"2016-01-01","2016-01-31",31,2016,1,9534956,11322,0,"TBC"
"Belarus","Belarus",0,"2016-02-01","2016-02-29",29,2016,2,9534956,9764,0,"TBC"
"Belarus","Belarus",0,"2016-03-01","2016-03-31",31,2016,3,9534956,10260,0,"TBC"
"Belarus","Belarus",0,"2016-04-01","2016-04-30",30,2016,4,9534956,9817,0,"TBC"
"Belarus","Belarus",0,"2016-05-01","2016-05-31",31,2016,5,9534956,10453,0,"TBC"
"Belarus","Belarus",0,"2016-06-01","2016-06-30",30,2016,6,9534956,9629,0,"TBC"
"Belarus","Belarus",0,"2016-07-01","2016-07-31",31,2016,7,9534956,9377,0,"TBC"
"Belarus","Belarus",0,"2016-08-01","2016-08-31",31,2016,8,9534956,9134,0,"TBC"
"Belarus","Belarus",0,"2016-09-01","2016-09-30",30,2016,9,9534956,9073,0,"TBC"
"Belarus","Belarus",0,"2016-10-01","2016-10-31",31,2016,10,9534956,10364,0,"TBC"
"Belarus","Belarus",0,"2016-11-01","2016-11-30",30,2016,11,9534956,9969,0,"TBC"
"Belarus","Belarus",0,"2016-12-01","2016-12-31",31,2016,12,9534956,10207,0,"TBC"
"Belarus","Belarus",0,"2017-01-01","2017-01-31",31,2017,1,9534956,11978,0,"TBC"
"Belarus","Belarus",0,"2017-02-01","2017-02-28",28,2017,2,9534956,10188,0,"TBC"
"Belarus","Belarus",0,"2017-03-01","2017-03-31",31,2017,3,9534956,10205,0,"TBC"
"Belarus","Belarus",0,"2017-04-01","2017-04-30",30,2017,4,9534956,9793,0,"TBC"
"Belarus","Belarus",0,"2017-05-01","2017-05-31",31,2017,5,9534956,10142,0,"TBC"
"Belarus","Belarus",0,"2017-06-01","2017-06-30",30,2017,6,9534956,9304,0,"TBC"
"Belarus","Belarus",0,"2017-07-01","2017-07-31",31,2017,7,9534956,9272,0,"TBC"
"Belarus","Belarus",0,"2017-08-01","2017-08-31",31,2017,8,9534956,9134,0,"TBC"
"Belarus","Belarus",0,"2017-09-01","2017-09-30",30,2017,9,9534956,9233,0,"TBC"
"Belarus","Belarus",0,"2017-10-01","2017-10-31",31,2017,10,9534956,10629,0,"TBC"
"Belarus","Belarus",0,"2017-11-01","2017-11-30",30,2017,11,9534956,9509,0,"TBC"
"Belarus","Belarus",0,"2017-12-01","2017-12-31",31,2017,12,9534956,9916,0,"TBC"
"Belarus","Belarus",0,"2018-01-01","2018-01-31",31,2018,1,9534956,10659,0,"TBC"
"Belarus","Belarus",0,"2018-02-01","2018-02-28",28,2018,2,9534956,9391,0,"TBC"
"Belarus","Belarus",0,"2018-03-01","2018-03-31",31,2018,3,9534956,12080,0,"TBC"
"Belarus","Belarus",0,"2018-04-01","2018-04-30",30,2018,4,9534956,10825,0,"TBC"
"Belarus","Belarus",0,"2018-05-01","2018-05-31",31,2018,5,9534956,9940,0,"TBC"
"Belarus","Belarus",0,"2018-06-01","2018-06-30",30,2018,6,9534956,9036,0,"TBC"
"Belarus","Belarus",0,"2018-07-01","2018-07-31",31,2018,7,9534956,9525,0,"TBC"
"Belarus","Belarus",0,"2018-08-01","2018-08-31",31,2018,8,9534956,9215,0,"TBC"
"Belarus","Belarus",0,"2018-09-01","2018-09-30",30,2018,9,9534956,9249,0,"TBC"
"Belarus","Belarus",0,"2018-10-01","2018-10-31",31,2018,10,9534956,10256,0,"TBC"
"Belarus","Belarus",0,"2018-11-01","2018-11-30",30,2018,11,9534956,9545,0,"TBC"
"Belarus","Belarus",0,"2018-12-01","2018-12-31",31,2018,12,9534956,10326,0,"TBC"
"Belarus","Belarus",0,"2019-01-01","2019-01-31",31,2019,1,9534956,11904,0,"TBC"
"Belarus","Belarus",0,"2019-02-01","2019-02-28",28,2019,2,9534956,10115,0,"TBC"
"Belarus","Belarus",0,"2019-03-01","2019-03-31",31,2019,3,9534956,10206,0,"TBC"
"Belarus","Belarus",0,"2019-04-01","2019-04-30",30,2019,4,9534956,10343,0,"TBC"
"Belarus","Belarus",0,"2019-05-01","2019-05-31",31,2019,5,9534956,10657,0,"TBC"
"Belarus","Belarus",0,"2019-06-01","2019-06-30",30,2019,6,9534956,9263,0,"TBC"
"Belarus","Belarus",0,"2019-07-01","2019-07-31",31,2019,7,9534956,9989,0,"TBC"
"Belarus","Belarus",0,"2019-08-01","2019-08-31",31,2019,8,9534956,9065,0,"TBC"
"Belarus","Belarus",0,"2019-09-01","2019-09-30",30,2019,9,9534956,9113,0,"TBC"
"Belarus","Belarus",0,"2019-10-01","2019-10-31",31,2019,10,9534956,10519,0,"TBC"
"Belarus","Belarus",0,"2019-11-01","2019-11-30",30,2019,11,9534956,9374,0,"TBC"
"Belarus","Belarus",0,"2019-12-01","2019-12-31",31,2019,12,9534956,10365,0,"TBC"
"Belarus","Belarus",0,"2020-01-01","2020-01-31",31,2020,1,9534956,10725,0,"TBC"
"Belarus","Belarus",0,"2020-02-01","2020-02-29",29,2020,2,9534956,9622,0,"TBC"
"Belarus","Belarus",0,"2020-03-01","2020-03-31",31,2020,3,9534956,10690,1,"TBC"
"Belarus","Belarus",0,"2020-04-01","2020-04-30",30,2020,4,9534956,10886,88,"TBC"
"Belarus","Belarus",0,"2020-05-01","2020-05-31",31,2020,5,9534956,11966,146,"TBC"
"Belarus","Belarus",0,"2020-06-01","2020-06-30",30,2020,6,9534956,13016,157,"TBC"
"Belarus","Belarus",0,"2020-07-01","2020-07-31",31,2020,7,9534956,10759,167,"TBC"
"Belarus","Belarus",0,"2020-08-01","2020-08-31",31,2020,8,9534956,10413,122,"TBC"
"Belarus","Belarus",0,"2020-09-01","2020-09-30",30,2020,9,9534956,10659,152,"TBC"
"Belarus","Belarus",0,"2020-10-01","2020-10-31",31,2020,10,9534956,12704,147,"TBC"
"Belarus","Belarus",0,"2020-11-01","2020-11-30",30,2020,11,9534956,15565,178,"TBC"
"Belarus","Belarus",0,"2020-12-01","2020-12-31",31,2020,12,9534956,17531,266,"TBC"
"Belarus","Belarus",0,"2021-01-01","2021-01-31",31,2021,1,9534956,16127,294,"TBC"
"Belarus","Belarus",0,"2021-02-01","2021-02-28",28,2021,2,9534956,12554,258,"TBC"
"Belarus","Belarus",0,"2021-03-01","2021-03-31",31,2021,3,9534956,11036,271,"TBC"
