"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths"
"Peru","Peru",0,"2017-01-02","2017-01-08",7,2017,1,32824358,1585,0,"TBC"
"Peru","Peru",0,"2017-01-09","2017-01-15",7,2017,2,32824358,1669,0,"TBC"
"Peru","Peru",0,"2017-01-16","2017-01-22",7,2017,3,32824358,1739,0,"TBC"
"Peru","Peru",0,"2017-01-23","2017-01-29",7,2017,4,32824358,1761,0,"TBC"
"Peru","Peru",0,"2017-01-30","2017-02-05",7,2017,5,32824358,1879,0,"TBC"
"Peru","Peru",0,"2017-02-06","2017-02-12",7,2017,6,32824358,1683,0,"TBC"
"Peru","Peru",0,"2017-02-13","2017-02-19",7,2017,7,32824358,1715,0,"TBC"
"Peru","Peru",0,"2017-02-20","2017-02-26",7,2017,8,32824358,1933,0,"TBC"
"Peru","Peru",0,"2017-02-27","2017-03-05",7,2017,9,32824358,2054,0,"TBC"
"Peru","Peru",0,"2017-03-06","2017-03-12",7,2017,10,32824358,1839,0,"TBC"
"Peru","Peru",0,"2017-03-13","2017-03-19",7,2017,11,32824358,1934,0,"TBC"
"Peru","Peru",0,"2017-03-20","2017-03-26",7,2017,12,32824358,1911,0,"TBC"
"Peru","Peru",0,"2017-03-27","2017-04-02",7,2017,13,32824358,1788,0,"TBC"
"Peru","Peru",0,"2017-04-03","2017-04-09",7,2017,14,32824358,1768,0,"TBC"
"Peru","Peru",0,"2017-04-10","2017-04-16",7,2017,15,32824358,1756,0,"TBC"
"Peru","Peru",0,"2017-04-17","2017-04-23",7,2017,16,32824358,1804,0,"TBC"
"Peru","Peru",0,"2017-04-24","2017-04-30",7,2017,17,32824358,1685,0,"TBC"
"Peru","Peru",0,"2017-05-01","2017-05-07",7,2017,18,32824358,1780,0,"TBC"
"Peru","Peru",0,"2017-05-08","2017-05-14",7,2017,19,32824358,1751,0,"TBC"
"Peru","Peru",0,"2017-05-15","2017-05-21",7,2017,20,32824358,1812,0,"TBC"
"Peru","Peru",0,"2017-05-22","2017-05-28",7,2017,21,32824358,1810,0,"TBC"
"Peru","Peru",0,"2017-05-29","2017-06-04",7,2017,22,32824358,1782,0,"TBC"
"Peru","Peru",0,"2017-06-05","2017-06-11",7,2017,23,32824358,1933,0,"TBC"
"Peru","Peru",0,"2017-06-12","2017-06-18",7,2017,24,32824358,1839,0,"TBC"
"Peru","Peru",0,"2017-06-19","2017-06-25",7,2017,25,32824358,1918,0,"TBC"
"Peru","Peru",0,"2017-06-26","2017-07-02",7,2017,26,32824358,1966,0,"TBC"
"Peru","Peru",0,"2017-07-03","2017-07-09",7,2017,27,32824358,2009,0,"TBC"
"Peru","Peru",0,"2017-07-10","2017-07-16",7,2017,28,32824358,1922,0,"TBC"
"Peru","Peru",0,"2017-07-17","2017-07-23",7,2017,29,32824358,1957,0,"TBC"
"Peru","Peru",0,"2017-07-24","2017-07-30",7,2017,30,32824358,2004,0,"TBC"
"Peru","Peru",0,"2017-07-31","2017-08-06",7,2017,31,32824358,1929,0,"TBC"
"Peru","Peru",0,"2017-08-07","2017-08-13",7,2017,32,32824358,1962,0,"TBC"
"Peru","Peru",0,"2017-08-14","2017-08-20",7,2017,33,32824358,1914,0,"TBC"
"Peru","Peru",0,"2017-08-21","2017-08-27",7,2017,34,32824358,1970,0,"TBC"
"Peru","Peru",0,"2017-08-28","2017-09-03",7,2017,35,32824358,1971,0,"TBC"
"Peru","Peru",0,"2017-09-04","2017-09-10",7,2017,36,32824358,2028,0,"TBC"
"Peru","Peru",0,"2017-09-11","2017-09-17",7,2017,37,32824358,2058,0,"TBC"
"Peru","Peru",0,"2017-09-18","2017-09-24",7,2017,38,32824358,2014,0,"TBC"
"Peru","Peru",0,"2017-09-25","2017-10-01",7,2017,39,32824358,2080,0,"TBC"
"Peru","Peru",0,"2017-10-02","2017-10-08",7,2017,40,32824358,1968,0,"TBC"
"Peru","Peru",0,"2017-10-09","2017-10-15",7,2017,41,32824358,2076,0,"TBC"
"Peru","Peru",0,"2017-10-16","2017-10-22",7,2017,42,32824358,2068,0,"TBC"
"Peru","Peru",0,"2017-10-23","2017-10-29",7,2017,43,32824358,2040,0,"TBC"
"Peru","Peru",0,"2017-10-30","2017-11-05",7,2017,44,32824358,2030,0,"TBC"
"Peru","Peru",0,"2017-11-06","2017-11-12",7,2017,45,32824358,1999,0,"TBC"
"Peru","Peru",0,"2017-11-13","2017-11-19",7,2017,46,32824358,1893,0,"TBC"
"Peru","Peru",0,"2017-11-20","2017-11-26",7,2017,47,32824358,2036,0,"TBC"
"Peru","Peru",0,"2017-11-27","2017-12-03",7,2017,48,32824358,1950,0,"TBC"
"Peru","Peru",0,"2017-12-04","2017-12-10",7,2017,49,32824358,1867,0,"TBC"
"Peru","Peru",0,"2017-12-11","2017-12-17",7,2017,50,32824358,1967,0,"TBC"
"Peru","Peru",0,"2017-12-18","2017-12-24",7,2017,51,32824358,1949,0,"TBC"
"Peru","Peru",0,"2017-12-25","2017-12-31",7,2017,52,32824358,1948,0,"TBC"
"Peru","Peru",0,"2018-01-01","2018-01-07",7,2018,1,32824358,1988,0,"TBC"
"Peru","Peru",0,"2018-01-08","2018-01-14",7,2018,2,32824358,1980,0,"TBC"
"Peru","Peru",0,"2018-01-15","2018-01-21",7,2018,3,32824358,1922,0,"TBC"
"Peru","Peru",0,"2018-01-22","2018-01-28",7,2018,4,32824358,1953,0,"TBC"
"Peru","Peru",0,"2018-01-29","2018-02-04",7,2018,5,32824358,1888,0,"TBC"
"Peru","Peru",0,"2018-02-05","2018-02-11",7,2018,6,32824358,1914,0,"TBC"
"Peru","Peru",0,"2018-02-12","2018-02-18",7,2018,7,32824358,2024,0,"TBC"
"Peru","Peru",0,"2018-02-19","2018-02-25",7,2018,8,32824358,1949,0,"TBC"
"Peru","Peru",0,"2018-02-26","2018-03-04",7,2018,9,32824358,1947,0,"TBC"
"Peru","Peru",0,"2018-03-05","2018-03-11",7,2018,10,32824358,1893,0,"TBC"
"Peru","Peru",0,"2018-03-12","2018-03-18",7,2018,11,32824358,1972,0,"TBC"
"Peru","Peru",0,"2018-03-19","2018-03-25",7,2018,12,32824358,1970,0,"TBC"
"Peru","Peru",0,"2018-03-26","2018-04-01",7,2018,13,32824358,1984,0,"TBC"
"Peru","Peru",0,"2018-04-02","2018-04-08",7,2018,14,32824358,2098,0,"TBC"
"Peru","Peru",0,"2018-04-09","2018-04-15",7,2018,15,32824358,1836,0,"TBC"
"Peru","Peru",0,"2018-04-16","2018-04-22",7,2018,16,32824358,1985,0,"TBC"
"Peru","Peru",0,"2018-04-23","2018-04-29",7,2018,17,32824358,1991,0,"TBC"
"Peru","Peru",0,"2018-04-30","2018-05-06",7,2018,18,32824358,2130,0,"TBC"
"Peru","Peru",0,"2018-05-07","2018-05-13",7,2018,19,32824358,2001,0,"TBC"
"Peru","Peru",0,"2018-05-14","2018-05-20",7,2018,20,32824358,2118,0,"TBC"
"Peru","Peru",0,"2018-05-21","2018-05-27",7,2018,21,32824358,2294,0,"TBC"
"Peru","Peru",0,"2018-05-28","2018-06-03",7,2018,22,32824358,2288,0,"TBC"
"Peru","Peru",0,"2018-06-04","2018-06-10",7,2018,23,32824358,2347,0,"TBC"
"Peru","Peru",0,"2018-06-11","2018-06-17",7,2018,24,32824358,2443,0,"TBC"
"Peru","Peru",0,"2018-06-18","2018-06-24",7,2018,25,32824358,2496,0,"TBC"
"Peru","Peru",0,"2018-06-25","2018-07-01",7,2018,26,32824358,2454,0,"TBC"
"Peru","Peru",0,"2018-07-02","2018-07-08",7,2018,27,32824358,2476,0,"TBC"
"Peru","Peru",0,"2018-07-09","2018-07-15",7,2018,28,32824358,2320,0,"TBC"
"Peru","Peru",0,"2018-07-16","2018-07-22",7,2018,29,32824358,2389,0,"TBC"
"Peru","Peru",0,"2018-07-23","2018-07-29",7,2018,30,32824358,2377,0,"TBC"
"Peru","Peru",0,"2018-07-30","2018-08-05",7,2018,31,32824358,2388,0,"TBC"
"Peru","Peru",0,"2018-08-06","2018-08-12",7,2018,32,32824358,2375,0,"TBC"
"Peru","Peru",0,"2018-08-13","2018-08-19",7,2018,33,32824358,2285,0,"TBC"
"Peru","Peru",0,"2018-08-20","2018-08-26",7,2018,34,32824358,2217,0,"TBC"
"Peru","Peru",0,"2018-08-27","2018-09-02",7,2018,35,32824358,2314,0,"TBC"
"Peru","Peru",0,"2018-09-03","2018-09-09",7,2018,36,32824358,2287,0,"TBC"
"Peru","Peru",0,"2018-09-10","2018-09-16",7,2018,37,32824358,2224,0,"TBC"
"Peru","Peru",0,"2018-09-17","2018-09-23",7,2018,38,32824358,2259,0,"TBC"
"Peru","Peru",0,"2018-09-24","2018-09-30",7,2018,39,32824358,2329,0,"TBC"
"Peru","Peru",0,"2018-10-01","2018-10-07",7,2018,40,32824358,2243,0,"TBC"
"Peru","Peru",0,"2018-10-08","2018-10-14",7,2018,41,32824358,2286,0,"TBC"
"Peru","Peru",0,"2018-10-15","2018-10-21",7,2018,42,32824358,2297,0,"TBC"
"Peru","Peru",0,"2018-10-22","2018-10-28",7,2018,43,32824358,2296,0,"TBC"
"Peru","Peru",0,"2018-10-29","2018-11-04",7,2018,44,32824358,2242,0,"TBC"
"Peru","Peru",0,"2018-11-05","2018-11-11",7,2018,45,32824358,2245,0,"TBC"
"Peru","Peru",0,"2018-11-12","2018-11-18",7,2018,46,32824358,2060,0,"TBC"
"Peru","Peru",0,"2018-11-19","2018-11-25",7,2018,47,32824358,2014,0,"TBC"
"Peru","Peru",0,"2018-11-26","2018-12-02",7,2018,48,32824358,2028,0,"TBC"
