"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"Ecuador","Ecuador","0",2019-12-30,2020-01-05,7,2020,"1",18001002,1372,0,1478.04892322096,-106.048923220962,1372,0,-0.589127889775036,-0.0717492645574007
"Ecuador","Ecuador","0",2020-01-06,2020-01-12,7,2020,"2",18001002,1567,0,1510.38225655432,56.6177434456808,1567,0,0.314525510555917,0.0374857048273625
"Ecuador","Ecuador","0",2020-01-13,2020-01-19,7,2020,"3",18001002,1518,0,1493.04892322099,24.9510767790141,1518,0,0.138609377294742,0.0167114931004315
"Ecuador","Ecuador","0",2020-01-20,2020-01-26,7,2020,"4",18001002,1462,0,1475.04892322099,-13.0489232209857,1462,0,-0.0724899826186657,-0.00884643418639397
"Ecuador","Ecuador","0",2020-01-27,2020-02-02,7,2020,"5",18001002,1365,0,1447.21558988765,-82.2155898876526,1365,0,-0.456727852636496,-0.0568094971213204
"Ecuador","Ecuador","0",2020-02-03,2020-02-09,7,2020,"6",18001002,1432,0,1485.54892322099,-53.5489232209857,1432,0,-0.297477458315852,-0.0360465565178966
"Ecuador","Ecuador","0",2020-02-10,2020-02-16,7,2020,"7",18001002,1511,0,1498.04892322099,12.9510767790141,1511,0,0.071946421532613,0.00864529627721877
"Ecuador","Ecuador","0",2020-02-17,2020-02-23,7,2020,"8",18001002,1482,0,1490.88225655432,-8.88225655431938,1482,0,-0.0493431229790396,-0.00595771833440939
"Ecuador","Ecuador","0",2020-02-24,2020-03-01,7,2020,"9",18001002,1546,0,1495.45870786518,50.5412921348191,1546,0,0.280769326812024,0.0337965146540011
"Ecuador","Ecuador","0",2020-03-02,2020-03-08,7,2020,"10",18001002,1445,0,1561.85870786518,-116.858707865181,1445,0,-0.649178906069679,-0.0748202812947842
"Ecuador","Ecuador","0",2020-03-09,2020-03-15,7,2020,"11",18001002,1477,2,1531.85870786518,-54.8587078651808,1475,0.0111104926270215,-0.30475363463201,-0.035811858876745
"Ecuador","Ecuador","0",2020-03-16,2020-03-22,7,2020,"12",18001002,1538,12,1481.85870786518,56.141292134819,1526,0.0666629557621292,0.311878706167684,0.037885725431744
"Ecuador","Ecuador","0",2020-03-23,2020-03-29,7,2020,"13",18001002,3779,44,1483.65870786518,2295.34129213482,3735,0.244430837794474,12.751186251381,1.54708173784627
"Ecuador","Ecuador","0",2020-03-30,2020-04-05,7,2020,"14",18001002,7260,122,1510.65870786518,5749.34129213482,7138,0.677740050248314,31.9390070182472,3.80585056187815
"Ecuador","Ecuador","0",2020-04-06,2020-04-12,7,2020,"15",18001002,6439,153,1602.45870786518,4836.54129213482,6286,0.849952685967148,26.8681781832746,3.01820026213226
