"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change","total_deaths_per_7_days","covid_deaths_per_7_days","expected_deaths_per_7_days","excess_deaths_per_7_days","non_covid_deaths_per_7_days","covid_deaths_per_100k_per_7_days","excess_deaths_per_100k_per_7_days"
"French Polynesia","French Polynesia","0",2020-01-01,2020-01-31,31,2020,"1",282534,125,0,143.691064586753,-18.6910645867534,125,0,-6.61550984545343,-0.130078127269136,28.2258064516129,0,32.4463694228153,-4.22056297120238,28.2258064516129,0,-1.49382480381206
"French Polynesia","French Polynesia","0",2020-02-01,2020-02-29,29,2020,"2",282534,138,0,135.772823860727,2.22717613927261,138,0,0.788286060889173,0.0164036960854346,33.3103448275862,0,32.7727505870721,0.537594240514079,33.3103448275862,0,0.190275945731869
"French Polynesia","French Polynesia","0",2020-03-01,2020-03-31,31,2020,"3",282534,153,0,143.829277504106,9.17072249589435,153,0,3.24588279495365,0.0637611663983542,34.5483870967742,0,32.4775787912497,2.07080830552453,34.5483870967742,0,0.732941276279857
"French Polynesia","French Polynesia","0",2020-04-01,2020-04-30,30,2020,"4",282534,143,0,151.228333068489,-8.22833306848935,143,0,-2.91233376106569,-0.0544099964704553,33.3666666666667,0,35.2866110493142,-1.91994438264751,33.3666666666667,0,-0.679544544248662
"French Polynesia","French Polynesia","0",2020-05-01,2020-05-31,31,2020,"5",282534,125,0,136.829277504106,-11.8292775041056,125,0,-4.18685096452308,-0.0864528244238569,28.2258064516129,0,30.8969336299593,-2.67112717834644,28.2258064516129,0,-0.945417959731019
"French Polynesia","French Polynesia","0",2020-06-01,2020-06-30,30,2020,"6",282534,129,0,127.828333068489,1.17166693151069,129,0,0.414699445557238,0.00916594078468447,30.1,0,29.8266110493142,0.273388950685827,30.1,0,0.0967632039633554
"French Polynesia","French Polynesia","0",2020-07-01,2020-07-31,31,2020,"7",282534,114,0,140.629277504106,-26.6292775041057,114,0,-9.42515856644002,-0.189357991285479,25.741935483871,0,31.7549981460884,-6.01306266221741,25.741935483871,0,-2.12826161177678
"French Polynesia","French Polynesia","0",2020-08-01,2020-08-31,31,2020,"8",282534,116,0,145.429277504106,-29.4292775041056,116,0,-10.4161897343702,-0.202361436494621,26.1935483870968,0,32.8388691138303,-6.64532072673353,26.1935483870968,0,-2.3520428432449
"French Polynesia","French Polynesia","0",2020-09-01,2020-09-30,30,2020,"9",282534,136,0,125.228333068489,10.7716669315107,136,0,3.8125205927466,0.0860162126858262,31.7333333333333,0,29.2199443826475,2.51338895068582,31.7333333333333,0,0.889588138307539
"French Polynesia","French Polynesia","0",2020-10-01,2020-10-31,31,2020,"10",282534,141,0,134.829277504106,6.17072249589435,141,0,2.18406368645698,0.0457669328956127,31.8387096774194,0,30.4453207267335,1.39338895068582,31.8387096774194,0,0.493175671135446
