"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change","total_deaths_per_7_days","covid_deaths_per_7_days","expected_deaths_per_7_days","excess_deaths_per_7_days","non_covid_deaths_per_7_days","covid_deaths_per_100k_per_7_days","excess_deaths_per_100k_per_7_days"
"Malaysia","Malaysia","0",2020-01-01,2020-01-31,31,2020,"1",33938216,16028,0,15557.5768731374,470.423126862621,16028,0,1.38611624978349,0.0302375576028733,3619.22580645161,0,3513.00122941812,106.224577033495,3619.22580645161,0,0.312993991886595
"Malaysia","Malaysia","0",2020-02-01,2020-02-29,29,2020,"2",33938216,13827,0,14514.192113273,-687.192113273002,13827,0,-2.02483275276756,-0.0473462186465463,3337.55172413793,0,3503.42568251417,-165.873958376242,3337.55172413793,0,-0.488752733426653
"Malaysia","Malaysia","0",2020-03-01,2020-03-31,31,2020,"3",33938216,14676,48,15609.692247765,-933.692247764986,14628,0.141433480180573,-2.75115300039633,-0.0598149042879864,3313.93548387097,10.8387096774194,3524.76921723725,-210.833733366287,3303.09677419355,0.031936592298839,-0.621228096863687
"Malaysia","Malaysia","0",2020-04-01,2020-04-30,30,2020,"4",33938216,13038,55,14770.4828204177,-1732.48282041773,12983,0.16205919604024,-5.10481405509862,-0.117293580818012,3042.2,12.8333333333333,3446.4459914308,-404.245991430803,3029.36666666667,0.0378138124093893,-1.19112327952301
"Malaysia","Malaysia","0",2020-05-01,2020-05-31,31,2020,"5",33938216,13886,12,15238.892247765,-1352.89224776499,13874,0.0353583700451432,-3.98633872730666,-0.088778910288798,3135.54838709677,2.70967741935484,3441.04018497919,-305.491797882416,3132.83870967742,0.00798414807470976,-0.900141002940214
"Malaysia","Malaysia","0",2020-06-01,2020-06-30,30,2020,"6",33938216,13317,6,14847.0828204177,-1530.08282041773,13311,0.0176791850225716,-4.50843621367054,-0.103056124824303,3107.3,1.4,3464.31932476414,-357.019324764137,3105.9,0.00412514317193337,-1.05196844985646
"Malaysia","Malaysia","0",2020-07-01,2020-07-31,31,2020,"7",33938216,13659,4,15440.292247765,-1781.29224776499,13655,0.0117861233483811,-5.24863253791828,-0.11536648524401,3084.29032258065,0.903225806451613,3486.51760433403,-402.227281753384,3083.38709677419,0.00266138269156992,-1.18517508920735
"Malaysia","Malaysia","0",2020-08-01,2020-08-31,31,2020,"8",33938216,13950,2,15039.692247765,-1089.69224776499,13948,0.00589306167419053,-3.21081181098319,-0.0724544245861761,3150,0.451612903225806,3396.0595398179,-246.0595398179,3149.54838709677,0.00133069134578496,-0.725022021834913
"Malaysia","Malaysia","0",2020-09-01,2020-09-30,30,2020,"9",33938216,13249,9,14245.4828204177,-996.482820417728,13240,0.0265187775338574,-2.9361673589965,-0.0699507930324055,3091.43333333333,2.1,3323.9459914308,-232.51265809747,3089.33333333333,0.00618771475790006,-0.685105717099184
"Malaysia","Malaysia","0",2020-10-01,2020-10-31,31,2020,"10",33938216,13880,127,14836.892247765,-956.892247764987,13753,0.374209416311099,-2.81951251581694,-0.0644941158691189,3134.1935483871,28.6774193548387,3350.2659914308,-216.072443043707,3105.51612903226,0.0844989004573449,-0.636664116474792
"Malaysia","Malaysia","0",2020-11-01,2020-11-30,30,2020,"11",33938216,12846,97,14664.4828204177,-1818.48282041773,12749,0.285813491198241,-5.35821570708882,-0.124005929338729,2997.4,22.6333333333333,3421.71265809747,-424.31265809747,2974.76666666667,0.0666898146129229,-1.25025033165406
"Malaysia","Malaysia","0",2020-12-01,2020-12-31,31,2020,"12",33938216,14151,111,15649.092247765,-1498.09224776499,14040,0.327064922917575,-4.4141750048529,-0.0957302969428752,3195.38709677419,25.0645161290323,3533.6659914308,-338.27889465661,3170.32258064516,0.0738533696910652,-0.996749194644203
"Malaysia","Malaysia","0",2021-01-01,2021-01-31,31,2021,"1",33938216,16184,289,15944.1409557257,239.859044274323,15895,0.851547411920532,0.70675207051049,0.0150437107236052,3654.45161290323,65.258064516129,3600.28989322838,54.161719674847,3589.1935483871,0.192284899465927,0.159589177212046
"Malaysia","Malaysia","0",2021-02-01,2021-02-28,28,2021,"2",33938216,14332,375,14362.8573852977,-30.8573852977352,13957,1.10494906391073,-0.0909222373319068,-0.00214841549073108,3583,93.75,3590.71434632443,-7.71434632443379,3489.25,0.276237265977681,-0.0227305593329767
"Malaysia","Malaysia","0",2021-03-01,2021-03-31,31,2021,"3",33938216,15391,137,15996.2563303533,-605.256330353284,15254,0.403674724682052,-1.78340644173307,-0.0378373738113208,3475.38709677419,30.9354838709677,3612.05788104752,-136.670784273322,3444.45161290323,0.0911523571862697,-0.402704680391339
"Malaysia","Malaysia","0",2021-04-01,2021-04-30,30,2021,"4",33938216,14895,234,15144.5770938903,-249.577093890275,14661,0.689488215880293,-0.735386603380317,-0.0164796344158703,3475.5,54.6,3533.73465524106,-58.2346552410642,3420.9,0.160880583705402,-0.171590207455407
"Malaysia","Malaysia","0",2021-05-01,2021-05-31,31,2021,"5",33938216,18089,1290,15625.4563303533,2463.54366964671,16799,3.8010247798529,7.25890739114488,0.157662190310637,4084.61290322581,291.290322580645,3528.32884878945,556.284054436355,3793.32258064516,0.858295918031299,1.6391081205811
"Malaysia","Malaysia","0",2021-06-01,2021-06-30,30,2021,"6",33938216,17756,2374,15221.1770938903,2534.82290610972,15382,6.99506420726417,7.46893385942775,0.166532646619505,4143.06666666667,553.933333333333,3551.6079885744,591.458678092269,3589.13333333333,1.63218164836164,1.74275123386647
"Malaysia","Malaysia","0",2021-07-01,2021-07-31,31,2021,"7",33938216,24520,3854,15826.8563303533,8693.14366964671,20666,11.3559298461652,25.6146158939136,0.549265342920609,5536.77419354839,870.258064516129,3573.80626814429,1962.9679254041,4666.51612903226,2.56424222332762,5.78394552443209
"Malaysia","Malaysia","0",2021-08-01,2021-08-31,31,2021,"8",33938216,26799,7640,15426.2563303533,11372.7436696467,19159,22.5114955954078,33.510139924994,0.737232898643676,6051.38709677419,1725.16129032258,3483.34820362816,2568.03889314603,4326.22580645161,5.08324094089854,7.56680578951478
"Malaysia","Malaysia","0",2021-09-01,2021-09-30,30,2021,"9",33938216,22287,9671,14619.5770938903,7667.42290610972,12616,28.4958997255483,22.5922980339029,0.524462702092391,5200.3,2256.56666666667,3411.23465524106,1789.06534475894,2943.73333333333,6.64904326929461,5.27153620791068
"Malaysia","Malaysia","0",2021-10-01,2021-10-31,31,2021,"10",33938216,19439,2577,15223.4563303533,4215.54366964671,16862,7.5932099671945,12.4212294177358,0.276911075787799,4389.45161290323,581.903225806452,3437.55465524106,951.896957662162,3807.54838709677,1.71459579904392,2.80479373948873
"Malaysia","Malaysia","0",2021-11-01,2021-11-30,30,2021,"11",33938216,17165,1513,15038.5770938903,2126.42290610972,15652,4.45810115652514,6.26557066555803,0.141397879123393,4005.16666666667,353.033333333333,3509.00132190773,496.165344758935,3652.13333333333,1.0402236031892,1.46196648863021
"Malaysia","Malaysia","0",2021-12-01,2021-12-31,31,2021,"12",33938216,17712,1062,16035.6563303533,1676.34366964672,16650,3.12921574899517,4.93939831618349,0.104538513118021,3999.48387096774,239.806451612903,3620.95465524106,378.529215726678,3759.67741935484,0.706597104611813,1.11534800688014
"Malaysia","Malaysia","0",2022-01-01,2022-01-31,31,2022,"1",33938216,16465,491,16330.7050383141,134.294961685911,15974,1.44674664101378,0.395704245874065,0.0082234637984604,3717.90322580645,110.870967741935,3687.57855703867,30.3246687677864,3607.03225806452,0.326684725390208,0.0893525716489825
"Malaysia","Malaysia","0",2022-02-01,2022-02-28,28,2022,"2",33938216,15603,771,14712.0120405389,890.987959461119,14832,2.27177527540045,2.62532349803278,0.0605619378917042,3900.75,192.75,3678.00301013472,222.74698986528,3708,0.567943818850113,0.656330874508194
"Malaysia","Malaysia","0",2022-03-01,2022-03-31,31,2022,"3",33938216,21173,2234,16382.8204129417,4790.1795870583,18939,6.58254989007083,14.1144118684916,0.292390410583655,4781,504.451612903226,3699.3465448578,1081.6534551422,4276.54838709677,1.4863822332418,3.18712526062713
"Malaysia","Malaysia","0",2022-04-01,2022-04-30,30,2022,"4",33938216,16176,564,15518.6713673629,657.328632637067,15612,1.66184339212173,1.93683908617078,0.0423572751221142,3774.4,131.6,3621.02331905135,153.376680948649,3642.8,0.387763458161737,0.451929120106516
"Malaysia","Malaysia","0",2022-05-01,2022-05-31,31,2022,"5",33938216,16558,129,16012.0204129417,545.979587058306,16429,0.38010247798529,1.60874568969184,0.0340981071081459,3738.90322580645,29.1290322580645,3615.61751259974,123.285713206714,3709.77419354839,0.0858295918031299,0.363265155736867
"Malaysia","Malaysia","0",2022-06-01,2022-06-30,30,2022,"6",33938216,14038,89,15595.2713673629,-1557.27136736293,13949,0.262241244501479,-4.58854810566039,-0.0998553555548842,3275.53333333333,20.7666666666667,3638.89665238468,-363.363319051351,3254.76666666667,0.0611896237170117,-1.07066122465409
"Malaysia","Malaysia","0",2022-07-01,2022-07-31,31,2022,"7",33938216,19099,204,16213.4204129417,2885.5795870583,18895,0.601092290767435,8.50244923615992,0.177974758784088,4312.67741935484,46.0645161290323,3661.09493195458,651.582487400262,4266.61290322581,0.135730517270066,1.91990789203611
"Malaysia","Malaysia","0",2022-08-01,2022-08-31,31,2022,"8",33938216,15986,269,15812.8204129417,173.179587058305,15717,0.792616795178627,0.510278993622719,0.0109518468265515,3609.74193548387,60.741935483871,3570.63686743845,39.1050680454236,3549,0.178977986008077,0.115224288882549
"Malaysia","Malaysia","0",2022-09-01,2022-09-30,30,2022,"9",33938216,15191,158,14993.6713673629,197.328632637069,15033,0.465551872261052,0.581434901106967,0.013160794831518,3544.56666666667,36.8666666666667,3498.52331905135,46.0433476153161,3507.7,0.108628770194246,0.135668143591626
"Malaysia","Malaysia","0",2022-10-01,2022-10-31,31,2022,"10",33938216,16252,101,15610.0204129417,641.979587058304,16151,0.297599614546622,1.89161265005298,0.0411261209194873,3669.8064516129,22.8064516129032,3524.84331905135,144.963132561552,3647,0.0671999129621405,0.427138340334543
"Malaysia","Malaysia","0",2022-11-01,2022-11-30,30,2022,"11",33938216,16337,209,15412.6713673629,924.328632637069,16128,0.615824944952911,2.72356281967523,0.0599719938617767,3811.96666666667,48.7666666666667,3596.28998571802,215.676680948649,3763.2,0.143692487155679,0.635497991257553
"Malaysia","Malaysia","0",2022-12-01,2022-12-31,31,2022,"12",33938216,16191,169,16422.2204129417,-231.220412941697,16022,0.4979637114691,-0.681298076898611,-0.0140797289969072,3656.03225806452,38.1612903225806,3708.24331905135,-52.2110609868348,3617.87096774194,0.112443418718829,-0.15384150123517
