"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"Netherlands","Netherlands","0",2019-12-30,2020-01-05,7,2020,"1",17173094,3103,0,3298.23665730315,-195.23665730315,3103,0,-1.13687526140106,-0.0591942536539475
"Netherlands","Netherlands","0",2020-01-06,2020-01-12,7,2020,"2",17173094,3364,0,3401.56999063667,-37.5699906366681,3364,0,-0.218772404300984,-0.0110448971328195
"Netherlands","Netherlands","0",2020-01-13,2020-01-19,7,2020,"3",17173094,3157,0,3314.06999063667,-157.069990636668,3157,0,-0.914628375275111,-0.0473948924073546
"Netherlands","Netherlands","0",2020-01-20,2020-01-26,7,2020,"4",17173094,3046,0,3334.56999063667,-288.569990636669,3046,0,-1.68036109647259,-0.0865388915053398
"Netherlands","Netherlands","0",2020-01-27,2020-02-02,7,2020,"5",17173094,3164,0,3332.23665730334,-168.236657303336,3164,0,-0.979652573399619,-0.050487607755772
"Netherlands","Netherlands","0",2020-02-03,2020-02-09,7,2020,"6",17173094,3196,0,3321.06999063667,-125.069990636669,3196,0,-0.728290374679534,-0.0376595467693507
"Netherlands","Netherlands","0",2020-02-10,2020-02-16,7,2020,"7",17173094,3198,0,3357.73665730334,-159.736657303336,3198,0,-0.930156541991417,-0.0475727174601069
"Netherlands","Netherlands","0",2020-02-17,2020-02-23,7,2020,"8",17173094,2959,0,3363.56999063667,-404.569990636669,2959,0,-2.35583634863158,-0.12027993820937
"Netherlands","Netherlands","0",2020-02-24,2020-03-01,7,2020,"9",17173094,3098,0,3365.28398876401,-267.283988764015,3098,0,-1.55641137679684,-0.0794239029028221
"Netherlands","Netherlands","0",2020-03-02,2020-03-08,7,2020,"10",17173094,3107,3,3395.08398876401,-288.083988764015,3104,0.0174691875558359,-1.67753107718397,-0.0848532730611158
"Netherlands","Netherlands","0",2020-03-09,2020-03-15,7,2020,"11",17173094,3218,17,3247.28398876402,-29.2839887640152,3201,0.0989920628164034,-0.170522497367191,-0.00901799438094764
"Netherlands","Netherlands","0",2020-03-16,2020-03-22,7,2020,"12",17173094,3614,160,3123.48398876401,490.516011235987,3454,0.931690002977914,2.85630539980732,0.157041308039516
"Netherlands","Netherlands","0",2020-03-23,2020-03-29,7,2020,"13",17173094,4458,592,3098.48398876402,1359.51601123598,3866,3.44725301101828,7.9165467284811,0.438768125369044
"Netherlands","Netherlands","0",2020-03-30,2020-04-05,7,2020,"14",17173094,5085,999,2967.48398876401,2117.51601123599,4086,5.81723945609335,12.330428117589,0.713572851362865
"Netherlands","Netherlands","0",2020-04-06,2020-04-12,7,2020,"15",17173094,4982,976,2902.08398876401,2079.91601123599,4006,5.68330901816528,12.1114809668892,0.716697386873981
"Netherlands","Netherlands","0",2020-04-13,2020-04-19,7,2020,"16",17173094,4308,950,2888.08398876401,1419.91601123599,3358,5.53190939268137,8.26825970460527,0.49164637065962
"Netherlands","Netherlands","0",2020-04-20,2020-04-26,7,2020,"17",17173094,3910,794,2851.68398876402,1058.31601123598,3116,4.6235116397779,6.16264029787518,0.371119666627115
"Netherlands","Netherlands","0",2020-04-27,2020-05-03,7,2020,"18",17173094,3383,581,2786.68398876401,596.316011235987,2802,3.38319932331355,3.47238541427647,0.213987669086394
"Netherlands","Netherlands","0",2020-05-04,2020-05-10,7,2020,"19",17173094,2989,387,2838.88398876401,150.116011235987,2602,2.25352519470283,0.874134918471809,0.0528785296722689
"Netherlands","Netherlands","0",2020-05-11,2020-05-17,7,2020,"20",17173094,2777,240,2780.28398876401,-3.28398876401252,2537,1.39753500446687,-0.0191228718832641,-0.00118117026076625
"Netherlands","Netherlands","0",2020-05-18,2020-05-24,7,2020,"21",17173094,2770,142,2776.08398876401,-6.08398876401452,2628,0.826874877642899,-0.0354274469353893,-0.00219157229703393
"Netherlands","Netherlands","0",2020-05-25,2020-05-31,7,2020,"22",17173094,2732,134,2767.28398876402,-35.2839887640152,2598,0.780290377494003,-0.205460872478863,-0.0127504039727323
"Netherlands","Netherlands","0",2020-06-01,2020-06-07,7,2020,"23",17173094,2682,57,2700.68398876402,-18.6839887640153,2625,0.331914563560882,-0.108798034669905,-0.00691824324569201
"Netherlands","Netherlands","0",2020-06-08,2020-06-14,7,2020,"24",17173094,2689,46,2686.28398876401,2.71601123598521,2643,0.26786087585615,0.0158155032283944,0.00101106630845638
"Netherlands","Netherlands","0",2020-06-15,2020-06-21,7,2020,"25",17173094,2696,31,2672.88398876402,23.116011235983,2665,0.180514938076971,0.134605978608066,0.00864834064372255
"Netherlands","Netherlands","0",2020-06-22,2020-06-28,7,2020,"26",17173094,2659,15,2717.08398876401,-58.083988764015,2644,0.0873459377791795,-0.338226697903214,-0.0213773254725325
"Netherlands","Netherlands","0",2020-06-29,2020-07-05,7,2020,"27",17173094,2638,22,2795.08398876401,-157.083988764014,2616,0.128107375409463,-0.914709887245793,-0.0562000960956728
"Netherlands","Netherlands","0",2020-07-06,2020-07-12,7,2020,"28",17173094,2619,10,2690.48398876402,-71.4839887640164,2609,0.0582306251861196,-0.416255735652623,-0.0265691931498375
"Netherlands","Netherlands","0",2020-07-13,2020-07-19,7,2020,"29",17173094,2528,-1,2713.48398876401,-185.483988764012,2529,-0.00582306251861196,-1.08008486277436,-0.0683563969907558
"Netherlands","Netherlands","0",2020-07-20,2020-07-26,7,2020,"30",17173094,2673,23,2743.48398876401,-70.4839887640142,2650,0.133930437928075,-0.410432673133998,-0.0256914161163989
"Netherlands","Netherlands","0",2020-07-27,2020-08-02,7,2020,"31",17173094,2666,-9,2655.68398876402,10.3160112359842,2675,-0.0524075626675077,0.0600707783698395,0.00388450255362849
"Netherlands","Netherlands","0",2020-08-03,2020-08-09,7,2020,"32",17173094,2642,9,2684.08398876401,-42.0839887640136,2633,0.0524075626675077,-0.245057697605415,-0.0156790878900153
"Netherlands","Netherlands","0",2020-08-10,2020-08-16,7,2020,"33",17173094,3209,16,2628.28398876402,580.716011235985,3193,0.0931690002977914,3.38154563898611,0.220948730699788
"Netherlands","Netherlands","0",2020-08-17,2020-08-23,7,2020,"34",17173094,2856,31,2657.68398876401,198.316011235988,2825,0.180514938076971,1.15480653186891,0.0746198615314746
"Netherlands","Netherlands","0",2020-08-24,2020-08-30,7,2020,"35",17173094,2735,27,2658.48398876402,76.5160112359845,2708,0.157222688002523,0.445557517101953,0.0287818213535898
"Netherlands","Netherlands","0",2020-08-31,2020-09-06,7,2020,"36",17173094,2692,25,2623.48398876401,68.5160112359863,2667,0.145576562965299,0.398973016953068,0.0261164205802018
"Netherlands","Netherlands","0",2020-09-07,2020-09-13,7,2020,"37",17173094,2742,15,2699.48398876402,42.5160112359836,2727,0.0873459377791795,0.247573391469141,0.0157496808326876
"Netherlands","Netherlands","0",2020-09-14,2020-09-20,7,2020,"38",17173094,2721,32,2682.68398876401,38.3160112359865,2689,0.186338000595583,0.223116528890988,0.0142827151451557
"Netherlands","Netherlands","0",2020-09-21,2020-09-27,7,2020,"39",17173094,2891,99,2750.88398876401,140.116011235987,2792,0.576483189342584,0.815904293285687,0.050934903764859
"Netherlands","Netherlands","0",2020-09-28,2020-10-04,7,2020,"40",17173094,3002,85,2775.88398876401,226.116011235985,2917,0.494960314082017,1.31668766988631,0.0814572987024091
"Netherlands","Netherlands","0",2020-10-05,2020-10-11,7,2020,"41",17173094,3022,134,2869.48398876401,152.516011235986,2888,0.780290377494003,0.88811026851647,0.0531510236102344
"Netherlands","Netherlands","0",2020-10-12,2020-10-18,7,2020,"42",17173094,3222,169,2813.08398876401,408.916011235985,3053,0.984097565645422,2.38114349828858,0.145362176482918
"Netherlands","Netherlands","0",2020-10-19,2020-10-25,7,2020,"43",17173094,3448,297,2856.48398876401,591.516011235985,3151,1.72944956802775,3.44443471418712,0.207078357016078
"Netherlands","Netherlands","0",2020-10-26,2020-11-01,7,2020,"44",17173094,3687,390,2847.88398876401,839.116011235986,3297,2.27099438225867,4.88622499379544,0.294645433081761
"Netherlands","Netherlands","0",2020-11-02,2020-11-08,7,2020,"45",17173094,3589,574,2900.28398876401,688.716011235985,3015,3.34243788568327,4.0104363909962,0.237465025461003
"Netherlands","Netherlands","0",2020-11-09,2020-11-15,7,2020,"46",17173094,3580,487,2905.08398876401,674.916011235985,3093,2.83583144656403,3.93007812823936,0.232322374790662
"Netherlands","Netherlands","0",2020-11-16,2020-11-22,7,2020,"47",17173094,3335,408,2959.68398876401,375.316011235986,2927,2.37580950759368,2.18548859766321,0.126809487992912
"Netherlands","Netherlands","0",2020-11-23,2020-11-29,7,2020,"48",17173094,3405,459,2958.68398876401,446.316011235986,2946,2.67278569604289,2.59892603648467,0.150849503674921
"Netherlands","Netherlands","0",2020-11-30,2020-12-06,7,2020,"49",17173094,3530,342,3019.88398876401,510.116011235986,3188,1.99148738136529,2.97043742517211,0.168919075412816
"Netherlands","Netherlands","0",2020-12-07,2020-12-13,7,2020,"50",17173094,3615,366,3132.48398876401,482.516011235985,3249,2.13124088181198,2.80972089965842,0.154036225872737
"Netherlands","Netherlands","0",2020-12-14,2020-12-20,7,2020,"51",17173094,3909,444,3121.28398876401,787.716011235986,3465,2.58543975826371,4.58691958033879,0.25236922179193
"Netherlands","Netherlands","0",2020-12-21,2020-12-27,7,2020,"52",17173094,3867,512,3064.08398876401,802.916011235986,3355,2.98140800952933,4.67543013062169,0.262041123605057
"Netherlands","Netherlands","0",2020-12-28,2021-01-03,7,2020,"53",17173094,4077,617,3055.14887640447,1021.85112359553,3460,3.59282957398358,5.95030297741067,0.334468520171798
"Netherlands","Netherlands","0",2021-01-04,2021-01-10,7,2021,"1",17173094,4142,754,3316.73132022451,825.268679775492,3388,4.39058913903342,4.80559111698505,0.248819877191509
"Netherlands","Netherlands","0",2021-01-11,2021-01-17,7,2021,"2",17173094,3852,646,3420.06465355803,431.935346441975,3206,3.76169838702333,2.51518652632994,0.126294497384023
"Netherlands","Netherlands","0",2021-01-18,2021-01-24,7,2021,"3",17173094,3862,539,3332.56465355802,529.435346441975,3323,3.13863069753185,3.08293512189461,0.158867239342745
"Netherlands","Netherlands","0",2021-01-25,2021-01-31,7,2021,"4",17173094,3716,462,3353.06465355803,362.935346441974,3254,2.69025488359873,2.11339521254571,0.108239889158372
"Netherlands","Netherlands","0",2021-02-01,2021-02-07,7,2021,"5",17173094,3654,408,3350.73132022469,303.268679775307,3246,2.37580950759368,1.76595248226853,0.0905082057593836
"Netherlands","Netherlands","0",2021-02-08,2021-02-14,7,2021,"6",17173094,3549,420,3339.56465355803,209.435346441974,3129,2.44568625781702,1.21955511593877,0.0627133678094354
"Netherlands","Netherlands","0",2021-02-15,2021-02-21,7,2021,"7",17173094,3526,404,3376.23132022469,149.768679775307,3122,2.35251725751923,0.872112385661589,0.04435972111216
"Netherlands","Netherlands","0",2021-02-22,2021-02-28,7,2021,"8",17173094,3207,348,3382.06465355803,-175.064653558026,2859,2.02642575647696,-1.01941242246753,-0.0517626572791426
"Netherlands","Netherlands","0",2021-03-01,2021-03-07,7,2021,"9",17173094,3105,274,3383.77865168537,-278.778651685372,2831,1.59551913009968,-1.62334551761827,-0.0823867871932225
"Netherlands","Netherlands","0",2021-03-08,2021-03-14,7,2021,"10",17173094,3246,238,3413.57865168537,-167.578651685372,3008,1.38588887942965,-0.975820965548621,-0.0490917798547382
"Netherlands","Netherlands","0",2021-03-15,2021-03-21,7,2021,"11",17173094,3042,211,3265.77865168537,-223.778651685373,2831,1.22866619142712,-1.30307707909461,-0.0685222960747468
"Netherlands","Netherlands","0",2021-03-22,2021-03-28,7,2021,"12",17173094,3044,196,3141.97865168537,-97.9786516853706,2848,1.14132025364794,-0.570535814253218,-0.0311837420132738
"Netherlands","Netherlands","0",2021-03-29,2021-04-04,7,2021,"13",17173094,3178,183,3116.97865168537,61.0213483146276,2995,1.06562044090599,0.355331126206073,0.0195770825320325
"Netherlands","Netherlands","0",2021-04-05,2021-04-11,7,2021,"14",17173094,3161,169,2985.97865168537,175.021348314628,2992,0.984097565645422,1.01916025332784,0.058614400413024
"Netherlands","Netherlands","0",2021-04-12,2021-04-18,7,2021,"15",17173094,3136,168,2920.57865168537,215.42134831463,2968,0.97827450312681,1.25441197907977,0.0737598174903857
"Netherlands","Netherlands","0",2021-04-19,2021-04-25,7,2021,"16",17173094,3144,154,2906.57865168537,237.421348314628,2990,0.896751627866242,1.38251935448923,0.0816841299570408
"Netherlands","Netherlands","0",2021-04-26,2021-05-02,7,2021,"17",17173094,3121,144,2870.17865168537,250.821348314627,2977,0.838521002680123,1.46054839223862,0.0873887582458828
"Netherlands","Netherlands","0",2021-05-03,2021-05-09,7,2021,"18",17173094,2998,157,2805.17865168537,192.82134831463,2841,0.914220815422078,1.12281076615914,0.0687376357291118
"Netherlands","Netherlands","0",2021-05-10,2021-05-16,7,2021,"19",17173094,3014,135,2857.37865168537,156.62134831463,2879,0.786113440012615,0.91201590298539,0.0548129483021964
"Netherlands","Netherlands","0",2021-05-17,2021-05-23,7,2021,"20",17173094,2986,100,2798.77865168537,187.22134831463,2886,0.582306251861196,1.09020161605492,0.066893946115349
"Netherlands","Netherlands","0",2021-05-24,2021-05-30,7,2021,"21",17173094,2805,78,2794.57865168537,10.4213483146282,2727,0.454198876451733,0.0606841627643113,0.00372913043916046
"Netherlands","Netherlands","0",2021-05-31,2021-06-06,7,2021,"22",17173094,3009,59,2785.77865168537,223.221348314627,2950,0.343560688598106,1.29983186672493,0.0801288889839042
"Netherlands","Netherlands","0",2021-06-07,2021-06-13,7,2021,"23",17173094,2881,35,2719.17865168537,161.821348314627,2846,0.203807188151419,0.942295828082158,0.0595111131128987
"Netherlands","Netherlands","0",2021-06-14,2021-06-20,7,2021,"24",17173094,2866,18,2704.77865168537,161.221348314628,2848,0.104815125335015,0.938801990570994,0.0596061153522376
"Netherlands","Netherlands","0",2021-06-21,2021-06-27,7,2021,"25",17173094,2668,17,2691.37865168537,-23.3786516853743,2651,0.0989920628164034,-0.136135350364787,-0.00868649666621024
