"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change","total_deaths_per_7_days","covid_deaths_per_7_days","expected_deaths_per_7_days","excess_deaths_per_7_days","non_covid_deaths_per_7_days","covid_deaths_per_100k_per_7_days","excess_deaths_per_100k_per_7_days"
"Algeria","Algeria","0",2020-01-01,2020-01-31,31,2020,"1",44903228,17195,0,17369.0507215837,-174.05072158371,17195,0,-0.387612938614813,-0.01002073886326,3882.74193548387,0,3922.04371132535,-39.3017758414828,3882.74193548387,0,-0.0875255022678611
"Algeria","Algeria","0",2020-02-01,2020-02-29,29,2020,"2",44903228,15810,0,16106.8952986858,-296.895298685788,15810,0,-0.661189210463416,-0.0184328073896409,3816.20689655172,0,3887.87127899312,-71.664382441397,3816.20689655172,0,-0.1595973956291
"Algeria","Algeria","0",2020-03-01,2020-03-31,31,2020,"3",44903228,15882,44,15656.7260823755,225.273917624509,15838,0.0979885009603319,0.501687579397429,0.0143883156950735,3586.25806451613,9.93548387096774,3535.3897605364,50.8683039797278,3576.32258064516,0.0221264357007201,0.113284292122
"Algeria","Algeria","0",2020-04-01,2020-04-30,30,2020,"4",44903228,15020,406,14671.4720152021,348.527984797915,14614,0.904166622497607,0.776175790297113,0.0237554885042743,3504.66666666667,94.7333333333333,3423.34347021382,81.3231964528467,3409.93333333333,0.210972211916108,0.18110768440266
"Algeria","Algeria","0",2020-05-01,2020-05-31,31,2020,"5",44903228,14833,203,14671.7260823755,161.27391762451,14630,0.452083311248804,0.35915885072786,0.0109921570726597,3349.38709677419,45.8387096774194,3312.97040569769,36.4166910765024,3303.54838709677,0.102083328346504,0.0811003856482263
"Algeria","Algeria","0",2020-06-01,2020-06-30,30,2020,"6",44903228,18100,259,14297.2220152021,3802.77798479791,17841,0.576795948834681,8.46882986852953,0.265980200961729,4223.33333333333,60.4333333333333,3336.01847021382,887.314863119513,4162.9,0.134585721394759,1.97606030265689
"Algeria","Algeria","0",2020-07-01,2020-07-31,31,2020,"7",44903228,32170,298,15088.7260823755,17081.2739176245,31872,0.663649392867702,38.0401914927464,1.13205540509987,7264.1935483871,67.2903225806452,3407.13169602027,3857.06185236682,7196.90322580645,0.149856314518513,8.58972065965241
"Algeria","Algeria","0",2020-08-01,2020-08-31,31,2020,"8",44903228,23413,300,15083.3260823755,8329.67391762451,23113,0.668103415638626,18.5502786517364,0.55224384012738,5286.8064516129,67.741935483871,3405.91234118156,1880.89411043134,5219.06451612903,0.150862061595819,4.18877259877918
"Algeria","Algeria","0",2020-09-01,2020-09-30,30,2020,"9",44903228,17043,226,14114.1720152021,2928.82798479791,16817,0.503304573114432,6.52253326820494,0.207509727219091,3976.7,52.7333333333333,3293.30680354715,683.393196452846,3923.96666666667,0.117437733726701,1.52192442924782
"Algeria","Algeria","0",2020-10-01,2020-10-31,31,2020,"10",44903228,18665,228,15118.1760823755,3546.82391762451,18437,0.507758595885356,7.89881724677903,0.23460660190083,4214.67741935484,51.4838709677419,3413.78169602027,800.895723334567,4163.1935483871,0.114655166812822,1.78360389443397
"Algeria","Algeria","0",2020-11-01,2020-11-30,30,2020,"11",44903228,26100,467,15323.7220152021,10776.2779847979,25633,1.04001431701079,23.9988937650494,0.703241547589233,6090,108.966666666667,3575.53513688049,2514.46486311951,5981.03333333333,0.242670007302519,5.59974187851152
"Algeria","Algeria","0",2020-12-01,2020-12-31,31,2020,"12",44903228,21397,325,16348.9760823755,5048.02391762451,21072,0.723778700275178,11.2420067386347,0.308766976732346,4831.58064516129,73.3870967741936,3691.70427666543,1139.87636849586,4758.1935483871,0.163433900062137,2.53851765065945
