"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"Israel","Israel","0",2019-12-30,2020-01-05,7,2020,"1",9449000,1092,0,1040.90145131076,51.0985486892423,1092,0,0.540782608627816,0.0490906690781305
"Israel","Israel","0",2020-01-06,2020-01-12,7,2020,"2",9449000,1010,0,1062.90145131082,-52.901451310822,1010,0,-0.559862962332755,-0.0497707960089634
"Israel","Israel","0",2020-01-13,2020-01-19,7,2020,"3",9449000,1099,0,1060.40145131082,38.5985486891782,1099,0,0.40849347750215,0.0363999395148549
"Israel","Israel","0",2020-01-20,2020-01-26,7,2020,"4",9449000,1001,0,1057.23478464416,-56.2347846441555,1001,0,-0.595140063966087,-0.0531904411971112
"Israel","Israel","0",2020-01-27,2020-02-02,7,2020,"5",9449000,991,0,1061.23478464416,-70.234784644156,991,0,-0.743303890826077,-0.0661821358105091
"Israel","Israel","0",2020-02-03,2020-02-09,7,2020,"6",9449000,944,0,1050.06811797749,-106.068117977489,944,0,-1.12253273338437,-0.101010702221665
"Israel","Israel","0",2020-02-10,2020-02-16,7,2020,"7",9449000,966,0,1000.06811797749,-34.0681179774891,966,0,-0.360547338104446,-0.034065797484263
"Israel","Israel","0",2020-02-17,2020-02-23,7,2020,"8",9449000,991,0,1001.56811797749,-10.5681179774892,991,0,-0.111843771589472,-0.0105515718679523
"Israel","Israel","0",2020-02-24,2020-03-01,7,2020,"9",9449000,906,0,980.281741572991,-74.2817415729915,906,0,-0.786133364091348,-0.0757759105599545
"Israel","Israel","0",2020-03-02,2020-03-08,7,2020,"10",9449000,930,0,959.281741572992,-29.2817415729919,930,0,-0.3098924920414,-0.0305246522517743
"Israel","Israel","0",2020-03-09,2020-03-15,7,2020,"11",9449000,965,0,941.281741572992,23.7182584270076,965,0,0.251013423928539,0.0251978311906609
"Israel","Israel","0",2020-03-16,2020-03-22,7,2020,"12",9449000,893,1,882.281741572991,10.7182584270095,892,0.0105831304899989,0.113432727558572,0.0121483398351871
