PopCode,Area,Year,Week,Sex,Age,AgeInterval,Deaths,Type,Access
USA,1,2013,1,b,0,18,715,O,O
USA,1,2013,1,b,18,47,13779,O,O
USA,1,2013,1,b,65,+,44936,O,O
USA,1,2013,1,b,TOT,.,59430,O,O
USA,1,2013,2,b,0,18,725,O,O
USA,1,2013,2,b,18,47,13856,O,O
USA,1,2013,2,b,65,+,46209,O,O
USA,1,2013,2,b,TOT,.,60790,O,O
USA,1,2013,3,b,0,18,691,O,O
USA,1,2013,3,b,18,47,13431,O,O
USA,1,2013,3,b,65,+,45037,O,O
USA,1,2013,3,b,TOT,.,59159,O,O
USA,1,2013,4,b,0,18,720,O,O
USA,1,2013,4,b,18,47,13235,O,O
USA,1,2013,4,b,65,+,43888,O,O
USA,1,2013,4,b,TOT,.,57843,O,O
USA,1,2013,5,b,0,18,690,O,O
USA,1,2013,5,b,18,47,13065,O,O
USA,1,2013,5,b,65,+,42590,O,O
USA,1,2013,5,b,TOT,.,56345,O,O
USA,1,2013,6,b,0,18,695,O,O
USA,1,2013,6,b,18,47,13376,O,O
USA,1,2013,6,b,65,+,41612,O,O
USA,1,2013,6,b,TOT,.,55683,O,O
USA,1,2013,7,b,0,18,708,O,O
USA,1,2013,7,b,18,47,12942,O,O
USA,1,2013,7,b,65,+,40768,O,O
USA,1,2013,7,b,TOT,.,54418,O,O
USA,1,2013,8,b,0,18,719,O,O
USA,1,2013,8,b,18,47,12868,O,O
USA,1,2013,8,b,65,+,39881,O,O
USA,1,2013,8,b,TOT,.,53468,O,O
USA,1,2013,9,b,0,18,711,O,O
USA,1,2013,9,b,18,47,12751,O,O
USA,1,2013,9,b,65,+,39587,O,O
USA,1,2013,9,b,TOT,.,53049,O,O
USA,1,2013,10,b,0,18,710,O,O
USA,1,2013,10,b,18,47,13029,O,O
USA,1,2013,10,b,65,+,39593,O,O
USA,1,2013,10,b,TOT,.,53332,O,O
USA,1,2013,11,b,0,18,771,O,O
USA,1,2013,11,b,18,47,13151,O,O
USA,1,2013,11,b,65,+,39094,O,O
USA,1,2013,11,b,TOT,.,53016,O,O
USA,1,2013,12,b,0,18,751,O,O
USA,1,2013,12,b,18,47,12758,O,O
USA,1,2013,12,b,65,+,38559,O,O
USA,1,2013,12,b,TOT,.,52068,O,O
USA,1,2013,13,b,0,18,684,O,O
USA,1,2013,13,b,18,47,12624,O,O
USA,1,2013,13,b,65,+,38480,O,O
USA,1,2013,13,b,TOT,.,51788,O,O
USA,1,2013,14,b,0,18,674,O,O
USA,1,2013,14,b,18,47,13019,O,O
USA,1,2013,14,b,65,+,37629,O,O
USA,1,2013,14,b,TOT,.,51322,O,O
USA,1,2013,15,b,0,18,741,O,O
USA,1,2013,15,b,18,47,12402,O,O
USA,1,2013,15,b,65,+,37699,O,O
USA,1,2013,15,b,TOT,.,50842,O,O
USA,1,2013,16,b,0,18,704,O,O
USA,1,2013,16,b,18,47,12364,O,O
USA,1,2013,16,b,65,+,36463,O,O
USA,1,2013,16,b,TOT,.,49531,O,O
USA,1,2013,17,b,0,18,675,O,O
USA,1,2013,17,b,18,47,12233,O,O
USA,1,2013,17,b,65,+,35440,O,O
USA,1,2013,17,b,TOT,.,48348,O,O
USA,1,2013,18,b,0,18,714,O,O
USA,1,2013,18,b,18,47,12227,O,O
USA,1,2013,18,b,65,+,35412,O,O
USA,1,2013,18,b,TOT,.,48353,O,O
USA,1,2013,19,b,0,18,704,O,O
USA,1,2013,19,b,18,47,12219,O,O
USA,1,2013,19,b,65,+,34986,O,O
USA,1,2013,19,b,TOT,.,47909,O,O
USA,1,2013,20,b,0,18,713,O,O
USA,1,2013,20,b,18,47,12055,O,O
USA,1,2013,20,b,65,+,34566,O,O
USA,1,2013,20,b,TOT,.,47334,O,O
USA,1,2013,21,b,0,18,713,O,O
USA,1,2013,21,b,18,47,12093,O,O
USA,1,2013,21,b,65,+,34477,O,O
USA,1,2013,21,b,TOT,.,47283,O,O
USA,1,2013,22,b,0,18,745,O,O
USA,1,2013,22,b,18,47,12081,O,O
USA,1,2013,22,b,65,+,33759,O,O
USA,1,2013,22,b,TOT,.,46585,O,O
USA,1,2013,23,b,0,18,735,O,O
USA,1,2013,23,b,18,47,12315,O,O
USA,1,2013,23,b,65,+,33916,O,O
USA,1,2013,23,b,TOT,.,46966,O,O
USA,1,2013,24,b,0,18,725,O,O
USA,1,2013,24,b,18,47,12222,O,O
USA,1,2013,24,b,65,+,33576,O,O
USA,1,2013,24,b,TOT,.,46523,O,O
USA,1,2013,25,b,0,18,747,O,O
USA,1,2013,25,b,18,47,12387,O,O
USA,1,2013,25,b,65,+,33308,O,O
USA,1,2013,25,b,TOT,.,46442,O,O
USA,1,2013,26,b,0,18,725,O,O
USA,1,2013,26,b,18,47,12235,O,O
USA,1,2013,26,b,65,+,33410,O,O
USA,1,2013,26,b,TOT,.,46370,O,O
USA,1,2013,27,b,0,18,730,O,O
USA,1,2013,27,b,18,47,12506,O,O
USA,1,2013,27,b,65,+,33392,O,O
USA,1,2013,27,b,TOT,.,46628,O,O
USA,1,2013,28,b,0,18,697,O,O
USA,1,2013,28,b,18,47,12258,O,O
USA,1,2013,28,b,65,+,32807,O,O
USA,1,2013,28,b,TOT,.,45762,O,O
USA,1,2013,29,b,0,18,742,O,O
USA,1,2013,29,b,18,47,12260,O,O
USA,1,2013,29,b,65,+,33125,O,O
USA,1,2013,29,b,TOT,.,46127,O,O
USA,1,2013,30,b,0,18,782,O,O
USA,1,2013,30,b,18,47,12174,O,O
