country,source_type,frequency,description,link
All,Total deaths,Weekly,Data from Human Mortality Database,https://www.mortality.org/Public/STMF/Inputs/STMFinput.zip
All,Total deaths,Weekly,Documentation from Human Mortality Database,https://www.mortality.org/Public/STMF_DOC/STMFmetadata.pdf
All,Covid-19 deaths,Daily,"Data from Johns Hopkins University, via Our World In Data",https://ourworldindata.org/coronavirus-source-data
Brazil,Total deaths,Weekly,Data from Vital Strategies,https://www.vitalstrategies.org/resources/excess-mortality-in-brazil-a-detailed-description-of-trends-in-mortality-during-the-covid-19-pandemic/
Britain,"Total deaths, covid-19 deaths",Weekly,English and Welsh data from Office for National Statistics,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/datasets/weeklyprovisionalfiguresondeathsregisteredinenglandandwales
Britain,"Total deaths, covid-19 deaths",Weekly,Scottish data from National Records of Scotland,https://www.nrscotland.gov.uk/statistics-and-data/statistics/statistics-by-theme/vital-events/general-publications/weekly-and-monthly-data-on-births-and-deaths/deaths-involving-coronavirus-covid-19-in-scotland
Britain,"Total deaths, covid-19 deaths",Weekly,North Irish data from Northern Ireland Statistics and Research Agency,https://www.nisra.gov.uk/publications/weekly-deaths
Chile,Total deaths,Daily,Data from Registro Civil,https://estadisticas.sed.srcei.cl/defcom
Chile,Covid-19 deaths,Daily,"Data from Ministerio de Salud, via Data Science Research Peru",https://github.com/DataScienceResearchPeru/covid-19_latinoamerica/blob/master/latam_covid_19_data/time_series/time_series_deaths.csv
Colombia,Total deaths,Weekly,Data from Departamento Administrativo Nacional de Estadistica,https://www.dane.gov.co/index.php/estadisticas-por-tema/demografia-y-poblacion/informe-de-seguimiento-defunciones-por-covid-19
Ecuador,Total deaths,Monthly,Data from Registro Civil,https://www.registrocivil.gob.ec/cifras/
Ecuador,Covid-19 deaths,Daily,"Data from Ministerio de Salud, via Data Science Research Peru",https://github.com/DataScienceResearchPeru/covid-19_latinoamerica/blob/master/latam_covid_19_data/time_series/time_series_deaths.csv
France,Total deaths,Weekly,Data from INSEE,https://www.insee.fr/fr/statistiques/4487854
France,Total deaths,Yearly,Data from INSEE,https://www.insee.fr/fr/information/4190491
France,Covid-19 deaths,Daily,"Data from Sante Publique France, via OpenCOVID19 France",https://www.data.gouv.fr/fr/datasets/donnees-hospitalieres-relatives-a-lepidemie-de-covid-19/
Indonesia,Total deaths,Monthly,Jakarta data on burials from Provinsi DKI Jakarta,https://pertamananpemakaman.jakarta.go.id/v140/t15
Indonesia,Covid-19 deaths,Daily,Jakarta data from Provinsi DKI Jakarta,https://corona.jakarta.go.id/en/data-pemantauan
Italy,Total deaths,Weekly,Data from ISTAT,https://www.istat.it/it/archivio/240401
Italy,Covid-19 deaths,Daily,Data from Dipartimento della Protezione Civile,https://github.com/pcm-dpc/COVID-19/blob/master/dati-regioni/dpc-covid19-ita-regioni-latest.csv
Mexico,Total deaths,Weekly,Data from Secretaria de Salud,https://coronavirus.gob.mx/exceso-de-mortalidad-en-mexico/
Peru,Total deaths,Monthly,Data from Ministerio de Salud,http://www.minsa.gob.pe/reunis/data/defunciones_registradas.asp
Russia,Total deaths,Monthly,Data from Rosstat,https://rosstat.gov.ru/storage/mediabank/cBe1OOc9/edn11-2020.htm
South Africa,Total deaths,Weekly,Data from South African Medical Research Council,https://www.samrc.ac.za/reports/report-weekly-deaths-south-africa?bc=254
Spain,Total deaths,Daily,Data from Instituto de Salud Carlos III,https://momo.isciii.es/public/momo/dashboard/momo_dashboard.html#datos
Spain,Covid-19 deaths,Daily,"Data from Ministerio de Sanidad, via Datadista",https://github.com/datadista/datasets/blob/master/COVID%2019/ccaa_covid19_fallecidos_long.csv
Turkey,Total deaths,Daily,Istanbul data on burials from Istanbul Buyuksehir Belediyesi,https://turkiye.gov.tr/istanbul-buyuksehir-belediyesi-vefat-sorgulama
Turkey,Covid-19 deaths,,Latest breakdown of Turkish data by region,https://www.aa.com.tr/tr/koronavirus/turkiyenin-il-il-kovid-19-vaka-haritasi/1788776
United States,Total deaths,Weekly,Data from Centers for Disease Control and Prevention,https://gis.cdc.gov/grasp/fluview/mortality.html
United States,Total deaths,Weekly,Data from Centers for Disease Control and Prevention,https://www.cdc.gov/nchs/nvss/vsrr/covid19/excess_deaths.htm
United States,Covid-19 deaths,Daily,"Data from Centers for Disease Control and Prevention, via USA Facts",https://usafactsstatic.blob.core.windows.net/public/data/covid-19/covid_deaths_usafacts.csv
United States,Covid-19 deaths,Daily,New York City data from NYC Department of Health and Mental Hygiene,https://github.com/nychealth/coronavirus-data/blob/master/Deaths/probable-confirmed-dod.csv
